external_ID,CDD_name,molecule_ID,batch_ID,canonical_CID,virtual_project,for_synthesis_project,made_project
ALE-UNK-fca05062-1,CVD-0000085,75708227,76911862,ALE-UNK-fca05062-1,True,True,True
ALE-UNK-fca05062-2,CVD-0000086,75708228,76911863,ALE-UNK-fca05062-2,True,True,True
ALE-UNK-fca05062-3,CVD-0000087,75708229,76911864,ALE-UNK-fca05062-3,True,True,True
ALE-UNK-fca05062-4,CVD-0000088,75708230,76911865,ALE-UNK-fca05062-4,True,True,True
ALE-UNK-fca05062-5,CVD-0000089,75708231,76911866,ALE-UNK-fca05062-5,True,False,False
ALE-UNK-fca05062-6,CVD-0000090,75708232,76911867,ALE-UNK-fca05062-6,True,False,False
ALE-UNK-fca05062-7,CVD-0000091,75708233,76911868,ALE-UNK-fca05062-7,True,False,False
ALE-UNK-fca05062-8,CVD-0000092,75708234,76911869,ALE-UNK-fca05062-8,True,True,False
ALE-UNK-fca05062-9,CVD-0000093,75708235,76911870,ALE-UNK-fca05062-9,True,True,True
ALI-DIA-59c2fdb0-1,CVD-0000094,75708236,76911871,ALI-DIA-59c2fdb0-1,True,False,False
ALI-DIA-59c2fdb0-2,CVD-0000095,75708237,76911872,ALI-DIA-59c2fdb0-2,True,False,False
ALI-DIA-59c2fdb0-3,CVD-0000096,75708238,76911873,ALI-DIA-59c2fdb0-3,True,False,False
ALI-DIA-59c2fdb0-4,CVD-0000097,75708239,76911874,ALI-DIA-59c2fdb0-4,True,False,False
ALI-DIA-59c2fdb0-5,CVD-0000098,75708240,76911875,ALI-DIA-59c2fdb0-5,True,False,False
ALI-DIA-59c2fdb0-6,CVD-0000099,75708241,76911876,ALI-DIA-59c2fdb0-6,True,False,False
ALI-DIA-59c2fdb0-7,CVD-0000100,75708242,76911877,ALI-DIA-59c2fdb0-7,True,False,False
ALI-DIA-59c2fdb0-8,CVD-0000101,75708243,76911878,ALI-DIA-59c2fdb0-8,True,False,False
ALI-DIA-59c2fdb0-9,CVD-0000102,75708244,76911879,ALI-DIA-59c2fdb0-9,True,False,False
AMD-UAU-3d234461-1,CVD-0000103,75708245,76911880,AMD-UAU-3d234461-1,True,True,False
AMD-UAU-3d234461-2,CVD-0000104,75708246,76911881,AMD-UAU-3d234461-2,True,False,False
AME-NAT-624a42b4-1,CVD-0000105,75708247,76911882,AME-NAT-624a42b4-1,True,False,False
AME-UNI-e7596d22-1,CVD-0000106,75708248,76911883,AME-UNI-e7596d22-1,True,False,False
AMI-CSI-2339ae1c-1,CVD-0000107,75708249,76911884,AMI-CSI-2339ae1c-1,True,False,False
AMI-CSI-2339ae1c-2,CVD-0000108,75708250,76911885,AMI-CSI-2339ae1c-2,True,False,False
AMI-CSI-2339ae1c-3,CVD-0000109,75708251,76911886,AMI-CSI-2339ae1c-3,True,False,False
AMI-CSI-2339ae1c-4,CVD-0000110,75708252,76911887,AMI-CSI-2339ae1c-4,True,False,False
AMI-CSI-2339ae1c-5,CVD-0000110,75708252,76911888,AMI-CSI-2339ae1c-5,True,False,False
AMI-CSI-2ea5bed6-1,CVD-0000111,75708253,76911889,AMI-CSI-2ea5bed6-1,True,False,False
AMI-CSI-2ea5bed6-10,CVD-0000112,75708254,76911890,AMI-CSI-2ea5bed6-10,True,False,False
AMI-CSI-2ea5bed6-11,CVD-0000113,75708255,76911891,AMI-CSI-2ea5bed6-11,True,False,False
AMI-CSI-2ea5bed6-12,CVD-0000114,75708256,76911892,AMI-CSI-2ea5bed6-12,True,False,False
AMI-CSI-2ea5bed6-2,CVD-0000115,75708257,76911893,AMI-CSI-2ea5bed6-2,True,False,False
AMI-CSI-2ea5bed6-3,CVD-0000116,75708258,76911894,AMI-CSI-2ea5bed6-3,True,False,False
AMI-CSI-2ea5bed6-4,CVD-0000117,75708259,76911895,AMI-CSI-2ea5bed6-4,True,False,False
AMI-CSI-2ea5bed6-5,CVD-0000118,75708260,76911896,AMI-CSI-2ea5bed6-5,True,False,False
