shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,PostEra comments
ALP-POS-02c6a514-25,EN300-18375-Ugi,C33H34FN3O3,Achiral,539.651,,,,,0,40,20,,,COc1cccc(C(=O)N(c2ccc(C(C)(C)C)cc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)c1,2-[N-(4-tert-butylphenyl)-1-(3-methoxyphenyl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013868
ALP-POS-02c6a514-26,EN300-19169-Ugi,C31H31FN4O2,Achiral,510.61300000000006,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2ccncc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,2-[N-(4-tert-butylphenyl)-1-(pyridin-4-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013869
ALP-POS-02c6a514-27,EN300-1082478-Ugi,C32H28FN5O4,Achiral,565.605,,,,,0,40,20,,,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(-c2n[nH]c3c2COCC3)cc1,"N-[2-(3-fluorophenyl)ethyl]-2-[1-(furan-2-yl)-N-(4-{1H,4H,6H,7H-pyrano[4,3-c]pyrazol-3-yl}phenyl)formamido]-2-(pyridin-3-yl)acetamide",CVD-0013845
ALP-POS-02c6a514-28,EN300-332264-Ugi,C30H27ClFN3O5S,Achiral,596.07,,,,,0,40,20,,,COC(=O)CCSc1cc(Cl)ccc1N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,methyl 3-({5-chloro-2-[N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(pyridin-3-yl)methyl)furan-2-amido]phenyl}sulfanyl)propanoate,CVD-0013846
ALP-POS-02c6a514-29,EN300-42227-Ugi,C29H28FN3O6,Achiral,533.556,,,,,0,40,20,,,COc1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1OCCO,N-[2-(3-fluorophenyl)ethyl]-2-[1-(furan-2-yl)-N-[3-(2-hydroxyethoxy)-4-methoxyphenyl]formamido]-2-(pyridin-3-yl)acetamide,CVD-0013847
ALP-POS-02c6a514-30,EN300-91409-Ugi,C31H30FN3O4,Achiral,527.596,,,,,0,40,20,,,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(Cc1c(O)ccc2c1CCCC2)C(=O)c1ccco1,"N-[2-(3-fluorophenyl)ethyl]-2-[1-(furan-2-yl)-N-[(2-hydroxy-5,6,7,8-tetrahydronaphthalen-1-yl)methyl]formamido]-2-(pyridin-3-yl)acetamide",CVD-0013848
ALP-POS-02c6a514-31,EN300-66939-Ugi,C33H33FN4O3,Achiral,552.65,,,,,0,40,20,,,Cn1nc(C(C(=O)NCCc2cccc(F)c2)N(C(=O)c2ccco2)c2ccc(C(C)(C)C)cc2)c2ccccc21,2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(1-methyl-1H-indazol-3-yl)acetamide,CVD-0013870
ALP-POS-02c6a514-32,EN300-100667-Ugi,C34H32FN3O3,Achiral,549.646,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cncc3ccccc23)cc1,2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(isoquinolin-4-yl)acetamide,CVD-0013871
ALP-POS-02c6a514-33,EN300-17320-Ugi,C33H31FN4O2,Achiral,534.635,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2cccc(C#N)c2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,2-[N-(4-tert-butylphenyl)-1-(3-cyanophenyl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013872
ALP-POS-02c6a514-34,EN300-51515-Ugi,C32H31FN4O3,Achiral,538.623,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cnc3ccccn23)cc1,"2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-{imidazo[1,2-a]pyridin-3-yl}acetamide",CVD-0013873
ALP-POS-02c6a514-35,EN300-371746-Ugi,C29H25FN4O3S,Achiral,528.6,,,,,0,40,20,,,CSc1ccc(CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1C#N,2-(N-{[3-cyano-4-(methylsulfanyl)phenyl]methyl}-1-(furan-2-yl)formamido)-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013849
ALP-POS-02c6a514-36,EN300-196682-Ugi,C30H26F3N3O3,Achiral,533.5509999999999,,,,,0,40,20,,,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)[C@H]1C[C@H](c2cc(F)cc(F)c2)C1,"N-[2-(3-fluorophenyl)ethyl]-2-[1-(furan-2-yl)-N-[(1r,3r)-3-(3,5-difluorophenyl)cyclobutyl]formamido]-2-(pyridin-3-yl)acetamide",CVD-0013850
ALP-POS-02c6a514-37,EN300-17444-Ugi,C27H24FN3O4,Achiral,473.504,,,,,0,40,20,,,COc1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,N-[2-(3-fluorophenyl)ethyl]-2-[1-(furan-2-yl)-N-(4-methoxyphenyl)formamido]-2-(pyridin-3-yl)acetamide,CVD-0013851
ALP-POS-02c6a514-38,EN300-17971-Ugi,C28H24FN3O4,Achiral,485.515,,,,,0,40,20,,,CC(=O)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,2-[N-(4-acetylphenyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013852
ALP-POS-02c6a514-39,EN300-17909-Ugi,C27H21FN4O3,Achiral,468.48800000000006,,,,,0,40,20,,,N#Cc1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,2-[N-(4-cyanophenyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013853
ALP-POS-02c6a514-40,EN300-18034-Ugi,C33H34FN3O3,Achiral,539.651,,,,,0,40,20,,,COc1ccccc1C(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,2-[N-(4-tert-butylphenyl)-1-(2-methoxyphenyl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013874
ALP-POS-02c6a514-41,EN300-57342-Ugi,C28H26FN3O4,Achiral,487.531,,,,,0,40,20,,,COc1cc(C)ccc1N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,N-[2-(3-fluorophenyl)ethyl]-2-[1-(furan-2-yl)-N-(2-methoxy-4-methylphenyl)formamido]-2-(pyridin-3-yl)acetamide,CVD-0013854
ALP-POS-02c6a514-42,EN300-7464674-Ugi,C32H30F3N3O3,Achiral,561.605,,,,,0,40,20,,,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1CCCC(c2ccc(F)c(F)c2)C1,"2-{N-[3-(3,4-difluorophenyl)cyclohexyl]-1-(furan-2-yl)formamido}-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide",CVD-0013855
ALP-POS-02c6a514-43,EN300-93093-Ugi,C34H24F4N4O4,Achiral,628.5840000000001,,,,,0,40,20,,,N#Cc1cc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)ccc1Oc1ccc(C(F)(F)F)cc1,2-(N-{3-cyano-4-[4-(trifluoromethyl)phenoxy]phenyl}-1-(furan-2-yl)formamido)-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013856
ALP-POS-02c6a514-44,EN300-102570-Ugi,C31H32FN3O3,Achiral,513.613,,,,,0,40,20,,,Cc1ccncc1C(C(=O)NCCc1cccc(F)c1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(4-methylpyridin-3-yl)acetamide,CVD-0013875
