SMILES,AVG % Inhibition at 20 uM,STD DEV % Inhibition at 20 uM,N at 20 uM,AVG % Inhibition at 50 uM,STD DEV % Inhibition at 50 uM,N at 50 uM,CID
CC(C(=O)Nc1cccc(NC2CCCC2)c1)c1cnccn1,-2.77,1.4,2,0.9129999999999999,1.17,2,BAR-COM-4e090d3a-20
Nc1nnnn1-c1cccc(C(=O)Nc2c(-c3cccnc3)nc3ccccn23)c1,-2.5,0.8079999999999999,2,2.69,2.07,2,BAR-COM-4e090d3a-2
O=C(Cc1cccnc1Cl)Nc1cccc(OCCc2ccccc2)c1,1.54,1.06,2,6.9,0.335,2,BAR-COM-4e090d3a-15
O=C(Cc1cncnc1)Nc1cccc(CCCc2ccccc2)c1,1.12,2.19,2,10.1,0.9109999999999999,2,BAR-COM-4e090d3a-11
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,4.66,5.34,2,2.38,1.67,2,ANT-OPE-47f3bb65-1
CS(=O)(=O)NCCc1cccc(O)c1,-1.8,0.0968,2,0.0445,0.735,2,ANT-DIA-b7f58f21-2
CS(=O)(=O)Cc1ccc(C(=O)Nc2cccnc2)o1,0.469,4.68,2,6.26,0.49700000000000005,2,ANT-DIA-3c79be55-4
COc1cccc(NC(=O)Nc2cccc(C#N)c2)c1,5.11,0.0988,2,9.79,0.332,2,ANN-UNI-26382800-6
N#Cc1cccc(CC(=O)Nc2cccnc2)c1,11.4,1.42,2,25.0,0.9390000000000001,2,ANN-UNI-26382800-5
N#Cc1cccc(NC(=O)Nc2cccnc2)c1,6.21,4.27,2,10.3,1.53,2,ANN-UNI-26382800-4
N#Cc1ccc(NC(=O)Nc2cccnc2)cc1,5.82,0.48200000000000004,2,11.6,0.8240000000000001,2,ANN-UNI-26382800-3
CCCNC(=O)C(C)NC(=O)N(C)Cc1csc(C)n1,0.8140000000000001,2.71,2,-2.74,0.376,2,ALE-UNK-fca05062-9
O=C(COc1ccccc1)NCCc1ccccc1,-0.17800000000000002,1.95,2,-0.0738,2.77,2,ALE-UNK-fca05062-4
Cc1cccc(C)c1OCC(=O)NCCc1ccccc1,1.78,1.98,2,7.25,1.1,2,ALE-UNK-fca05062-3
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,2.31,0.138,2,6.72,0.179,2,ALE-UNK-fca05062-2
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,7.22,1.3,2,13.0,1.35,2,ALE-UNK-fca05062-1
Cc1nnc(CC(=O)Nc2cccnc2)s1,-1.16,0.562,2,-0.0294,0.49200000000000005,2,ALE-HEI-f28a35b5-5
Cc1nnc(NC(=O)Nc2cccnc2)s1,1.19,0.867,2,7.32,0.613,2,ALE-HEI-f28a35b5-4
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,1.37,3.81,2,-0.9620000000000001,1.03,2,ALE-ACE-2610ee4d-1
