SMILES,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,% Inhibition at 20 uM (N=1),% Inhibition at 20 uM (N=2),% Inhibition at 50 uM (N=1),% Inhibition at 50 uM (N=2),% Inhibition at 100 uM (N=1),% Inhibition at 100 uM (N=2)
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3,Z4439011586,Z4439011586,456.57,83.25,40,10,1169103-Y40-01,D06,No Inhibition,No Inhibition,,,78.26964523,81.54390512
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)OC)C=3C=CC=NC3,Z4439011587,Z4439011587,457.56,91.75,40,10,1169103-Y40-01,E06,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(OC)=CC2C)C=3C=CC=NC3)C(=O)C=C,Z4438424255,Z4438424255,459.53,92.79,40,10,1169103-Y40-01,F06,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
BrC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,Z4439011556,Z4439011556,493.37,96.22,40,10,1169103-Y40-01,G06,No Inhibition,6.1085585,,,49.53443043,55.65488425
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,Z4439011613,Z4439011613,395.49,100,40,10,1169103-Y40-01,H06,No Inhibition,No Inhibition,,,26.39939083,29.14276682
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3)=CC1,Z4439011540,Z4439011540,433.52,98.34,40,10,1169103-Y40-01,I06,No Inhibition,No Inhibition,,,39.96429994,41.44043641
CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4438424285,Z4438424285,448.94,83,40,10,1169103-Y40-01,J06,No Inhibition,No Inhibition,,,17.34633715,18.32537073
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4,Z4439011582,Z4439011582,456.55,100,40,10,1169103-Y40-01,K06,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3)=CC1,Z4439011546,Z4439011546,513.48,91.96,40,10,1169103-Y40-01,L06,9.47667232,11.22967265,,,69.15248347,76.665361
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3)=C(C)C1,Z4439011520,Z4439011520,448.51,96.7,40,10,1169103-Y40-01,M06,14.89473749,13.7230718,,,81.186481,79.7151649
CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=C(F)C2C)C=3C=CC=NC3)C(=O)C=C,Z4439011603,Z4439011603,459.55,96.27,40,10,1169103-Y40-01,N06,3.682800707,3.887371948,,,50.3461767,51.03342982
CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,Z4438424214,Z4438424214,493.39,96.32,40,10,1169103-Y40-01,O06,No Inhibition,No Inhibition,,,29.9930728,46.06494602
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3,Z4439011581,Z4439011581,446.54,87.4,40,10,1169103-Y40-01,P06,2.979711817,No Inhibition,,,49.37656548,52.91578894
CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC(Br)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4439011560,Z4439011560,493.39,84,40,10,1169103-Y40-01,A07,No Inhibition,No Inhibition,,,29.35636907,33.44613387
FC(F)(F)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,Z4438424211,Z4438424211,504.29,86.69,40,10,1169103-Y40-01,B07,10.07010227,9.129831818,,,60.59281938,65.08280866
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3)C1,Z4439011525,Z4439011525,432.51,85.43,40,10,1169103-Y40-01,C07,6.272858767,7.299247486,,,45.17920649,50.80607417
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3)C1,Z4438424264,Z4438424264,442.55,83,40,10,1169103-Y40-01,D07,No Inhibition,No Inhibition,,,18.37278036,31.86744736
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)OC)C=3C=CC=NC3)C1,Z4438424265,Z4438424265,443.53,97.79,40,10,1169103-Y40-01,E07,4.056763484,4.831844178,,,29.87357651,33.80550657
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=NC2)C(C)C)C=3C=CC=NC3,Z4439011588,Z4439011588,442.55,98.6,40,10,1169103-Y40-01,F07,No Inhibition,No Inhibition,,,23.38524609,22.56515352
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,Z4438424215,Z4438424215,494.38,100,40,10,1169103-Y40-01,G07,No Inhibition,No Inhibition,,,22.00596499,38.61137804
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C2=CC(=NN2)C(C)(C)C)C=3C=CC=NC3,Z4439011584,Z4439011584,445.55,88.54,40,10,1169103-Y40-01,H07,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
CC(C)(C)C=1C=C(NN1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4439011532,Z4439011532,437.92,93,40,10,1169103-Y40-01,I07,No Inhibition,No Inhibition,,,8.968581877,15.43893623
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4438424286,Z4438424286,449.92,95.75,40,10,1169103-Y40-01,J07,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=C(ON1)C(C)(C)C)C=2C=CC=NC2,Z4439011607,Z4439011607,384.47,93.92,40,10,1169103-Y40-01,K07,28.94208297,28.40065431,,,81.08409895,82.25401076
CSC=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4438424281,Z4438424281,437.94,90.57,40,10,1169103-Y40-01,L07,9.399070065,9.394995275,,,54.67220872,56.33861763
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,Z4439011543,Z4439011543,444.5,100,40,10,1169103-Y40-01,M07,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=NC2)C(C)C)C=3C=CC=NC3)=C(C)C1,Z4439011523,Z4439011523,444.52,89.29,40,10,1169103-Y40-01,N07,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3)=C(C)C1,Z4438424253,Z4438424253,527.5,100,40,10,1169103-Y40-01,O07,No Inhibition,No Inhibition,,,64.0535758,71.87482946
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3,Z4439011585,Z4439011585,525.53,90.99,40,10,1169103-Y40-01,P07,3.405003152,5.979722003,,,77.8393434,89.04634314
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3)=C(C)C1,Z4438424254,Z4438424254,458.55,100,40,10,1169103-Y40-01,A08,No Inhibition,No Inhibition,,,18.43788214,22.73276203
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC=C(OC)N=C2,PG-COV-40,PG-COV-40,,,20,,,A1,3.247517416,,1.216222913,,0.263794338,
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC(C3=NNC=C3)=CC=C2,PG-COV-24,PG-COV-24,,,20,,,A2,8.291350235,,38.02467332,,"No Inhibition, Compound Transfer Fail",
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC(OC)=C(OC)C(OC)=C2,PG-COV-3,PG-COV-3,,,20,,,A3,No Inhibition,,No Inhibition,,No Inhibition,
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC=C(N3C(NCC3)=O)C=C2,PG-COV-7,PG-COV-7,,,20,,,A4,No Inhibition,,22.3482488,,68.71589822,
O=C(C1CCN(C(CCl)=O)CC1)N(C)C2=CC=CC=C2,PG-COV-34,PG-COV-34,,,20,,,A5,43.44201388,,77.01948373,,86.84609792,
