SMILES,IC50 (µM),IC50 CI (Lower) (µM),IC50 CI (Upper) (µM),Hill slope,R squared,Concentration (µM),Inhibition (%),CID
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,6.19,11.3,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,3.71,11.4,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,3.71,14.7,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,12.4,32.8,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,12.4,34.3,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,24.8,42.0,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,24.8,49.4,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,49.5,67.2,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,49.5,67.5,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,99.0,79.9,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,99.0,79.9,TRY-UNI-714a760b-18
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,6.19,-20.7,LON-WEI-b8d98729-23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,1.24,-18.3,LON-WEI-b8d98729-23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,6.19,-15.8,LON-WEI-b8d98729-23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,1.24,-15.5,LON-WEI-b8d98729-23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,24.8,-11.4,LON-WEI-b8d98729-23
