shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name
ALP-POS-95b75b4d-4,Z2347827406,C17H18N2O,Achiral,266.337,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,O02,CC=1C=CN=CC1NC(=O)CC=2C=CC=C(C2)C3CC3,2-(3-cyclopropylphenyl)-N-(4-methylpyridin-3-yl)acetamide
ALP-POS-95b75b4d-4,Z2347827406,C17H18N2O,Achiral,266.337,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,P02,CC=1C=CN=CC1NC(=O)CC=2C=CC=C(C2)C3CC3,2-(3-cyclopropylphenyl)-N-(4-methylpyridin-3-yl)acetamide
JAG-UCB-ef2c0e8e-2,Z27788997,C11H11BrN2O2,Racemic or presumed racemic or meso,283.121,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,A03,BrC=1C=CC=C(NC(=O)C2CCC(=O)N2)C1,N-(3-bromophenyl)-5-oxopyrrolidine-2-carboxamide
JAG-UCB-ef2c0e8e-2,Z27788997,C11H11BrN2O2,Racemic or presumed racemic or meso,283.121,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,B03,BrC=1C=CC=C(NC(=O)C2CCC(=O)N2)C1,N-(3-bromophenyl)-5-oxopyrrolidine-2-carboxamide
Z4509080688,Z4509080688,C26H23F4N3O2,Racemic or presumed racemic or meso,485.473,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,C03,CC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-methylpyridin-3-yl)methyl)-N-[4-(trifluoromethyl)phenyl]prop-2-enamide
Z4509080688,Z4509080688,C26H23F4N3O2,Racemic or presumed racemic or meso,485.473,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,D03,CC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-methylpyridin-3-yl)methyl)-N-[4-(trifluoromethyl)phenyl]prop-2-enamide
MAT-POS-590ac91e-58,Z1171323384,C20H18ClN3O4S,Achiral,431.892,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,E03,ClC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4)C2C1,"4-[4-(benzenesulfonyl)piperazine-1-carbonyl]-6-chloro-1,2-dihydroquinolin-2-one"
MAT-POS-590ac91e-58,Z1171323384,C20H18ClN3O4S,Achiral,431.892,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,F03,ClC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4)C2C1,"4-[4-(benzenesulfonyl)piperazine-1-carbonyl]-6-chloro-1,2-dihydroquinolin-2-one"
MAT-POS-590ac91e-33,Z1239789614,C20H17FN2O4,Racemic or presumed racemic or meso,368.358,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,G03,CN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(F)=CC34,"N-[(2,3-dihydro-1,4-benzodioxin-2-yl)methyl]-6-fluoro-N-methyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-33,Z1239789614,C20H17FN2O4,Racemic or presumed racemic or meso,368.358,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,H03,CN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(F)=CC34,"N-[(2,3-dihydro-1,4-benzodioxin-2-yl)methyl]-6-fluoro-N-methyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-43,Z1172801512,C20H19ClN2O4,Achiral,386.828,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,I03,COC=1C=CC=CC1OCCN(C)C(=O)C2=CC(=O)NC=3C=CC(Cl)=CC23,"6-chloro-N-[2-(2-methoxyphenoxy)ethyl]-N-methyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-43,Z1172801512,C20H19ClN2O4,Achiral,386.828,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,J03,COC=1C=CC=CC1OCCN(C)C(=O)C2=CC(=O)NC=3C=CC(Cl)=CC23,"6-chloro-N-[2-(2-methoxyphenoxy)ethyl]-N-methyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
JAN-GHE-5a013bed-3,Z1079600034,C16H12ClN3O2,Achiral,313.738,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,K03,ClC=1C=CC=C(CC(=O)NN2C=NC=3C=CC=CC3C2=O)C1,"2-(3-chlorophenyl)-N-(4-oxo-3,4-dihydroquinazolin-3-yl)acetamide"
JAN-GHE-5a013bed-3,Z1079600034,C16H12ClN3O2,Achiral,313.738,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,L03,ClC=1C=CC=C(CC(=O)NN2C=NC=3C=CC=CC3C2=O)C1,"2-(3-chlorophenyl)-N-(4-oxo-3,4-dihydroquinazolin-3-yl)acetamide"
MAT-POS-590ac91e-25,Z4099035768,C14H18N2O,Racemic or presumed racemic or meso,230.305,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,M03,CC=1C=CN=CC1NC(=O)CC23CC3CCC2,2-{bicyclo[3.1.0]hexan-1-yl}-N-(4-methylpyridin-3-yl)acetamide
MAT-POS-590ac91e-25,Z4099035768,C14H18N2O,Racemic or presumed racemic or meso,230.305,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,N03,CC=1C=CN=CC1NC(=O)CC23CC3CCC2,2-{bicyclo[3.1.0]hexan-1-yl}-N-(4-methylpyridin-3-yl)acetamide
ALP-POS-95b75b4d-4,Z2347827406,C17H18N2O,Achiral,266.337,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,O03,CC=1C=CN=CC1NC(=O)CC=2C=CC=C(C2)C3CC3,2-(3-cyclopropylphenyl)-N-(4-methylpyridin-3-yl)acetamide
ALP-POS-95b75b4d-4,Z2347827406,C17H18N2O,Achiral,266.337,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,P03,CC=1C=CN=CC1NC(=O)CC=2C=CC=C(C2)C3CC3,2-(3-cyclopropylphenyl)-N-(4-methylpyridin-3-yl)acetamide
JAG-UCB-4709a583-1,Z1348442959,C15H13ClN6O,Racemic or presumed racemic or meso,328.756,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,A04,ClC=1C=CC=C(C1)N2CCC(NC3=NC=CN4C=NN=C34)C2=O,"1-(3-chlorophenyl)-3-({[1,2,4]triazolo[4,3-a]pyrazin-8-yl}amino)pyrrolidin-2-one"
JAG-UCB-4709a583-1,Z1348442959,C15H13ClN6O,Racemic or presumed racemic or meso,328.756,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,B04,ClC=1C=CC=C(C1)N2CCC(NC3=NC=CN4C=NN=C34)C2=O,"1-(3-chlorophenyl)-3-({[1,2,4]triazolo[4,3-a]pyrazin-8-yl}amino)pyrrolidin-2-one"
MAT-POS-590ac91e-51,Z1171332535,C21H19ClN2O4,Racemic or presumed racemic or meso,398.839,98.33,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,C04,CCN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(Cl)=CC34,"6-chloro-N-[(2,3-dihydro-1,4-benzodioxin-2-yl)methyl]-N-ethyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-51,Z1171332535,C21H19ClN2O4,Racemic or presumed racemic or meso,398.839,98.33,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,D04,CCN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(Cl)=CC34,"6-chloro-N-[(2,3-dihydro-1,4-benzodioxin-2-yl)methyl]-N-ethyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-62,Z1239087273,C21H17FN4O4S,Achiral,440.447,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,E04,FC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4C#N)C2C1,"2-{[4-(6-fluoro-2-oxo-1,2-dihydroquinoline-4-carbonyl)piperazin-1-yl]sulfonyl}benzonitrile"
MAT-POS-590ac91e-62,Z1239087273,C21H17FN4O4S,Achiral,440.447,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,F04,FC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4C#N)C2C1,"2-{[4-(6-fluoro-2-oxo-1,2-dihydroquinoline-4-carbonyl)piperazin-1-yl]sulfonyl}benzonitrile"
JAN-GHE-83b26c96-18,Z4512897824,C14H11Cl2N3O2,Racemic or presumed racemic or meso,324.162,96.06,200415-FTE / COVID-19,hydrogen chloride,1,36.46094,0.5,20,1178796-500NL-01,G04,Cl.ClC=1C=CC=C(C1)N2C(=O)NC(C2=O)C=3C=CC=NC3,"3-(3-chlorophenyl)-5-(pyridin-3-yl)imidazolidine-2,4-dione hydrochloride"
JAN-GHE-83b26c96-18,Z4512897824,C14H11Cl2N3O2,Racemic or presumed racemic or meso,324.162,96.06,200415-FTE / COVID-19,hydrogen chloride,1,36.46094,0.5,20,1178796-500NL-01,H04,Cl.ClC=1C=CC=C(C1)N2C(=O)NC(C2=O)C=3C=CC=NC3,"3-(3-chlorophenyl)-5-(pyridin-3-yl)imidazolidine-2,4-dione hydrochloride"
ERI-UCB-5b47150d-1,Z3532995054,C10H14N2O2,Single known enantiomer,194.23,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,I04,CO[C@H](C)C(=O)NC=1C=NC=CC1C,(2R)-2-methoxy-N-(4-methylpyridin-3-yl)propanamide
ERI-UCB-5b47150d-1,Z3532995054,C10H14N2O2,Single known enantiomer,194.23,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,J04,CO[C@H](C)C(=O)NC=1C=NC=CC1C,(2R)-2-methoxy-N-(4-methylpyridin-3-yl)propanamide
MAT-POS-590ac91e-50,Z1245866316,C22H21FN2O4,Racemic or presumed racemic or meso,396.411,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,K04,CCCN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=C(F)C=CC34,"N-[(2,3-dihydro-1,4-benzodioxin-2-yl)methyl]-7-fluoro-2-oxo-N-propyl-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-50,Z1245866316,C22H21FN2O4,Racemic or presumed racemic or meso,396.411,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,L04,CCCN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=C(F)C=CC34,"N-[(2,3-dihydro-1,4-benzodioxin-2-yl)methyl]-7-fluoro-2-oxo-N-propyl-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-18,Z2703873181,C14H18N2O,Diastereomeric mixture,230.305,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,M04,CC=1C=CN=CC1NC(=O)C2CC(C2)C3CC3,3-cyclopropyl-N-(4-methylpyridin-3-yl)cyclobutane-1-carboxamide
MAT-POS-590ac91e-18,Z2703873181,C14H18N2O,Diastereomeric mixture,230.305,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,N04,CC=1C=CN=CC1NC(=O)C2CC(C2)C3CC3,3-cyclopropyl-N-(4-methylpyridin-3-yl)cyclobutane-1-carboxamide
MAT-POS-590ac91e-20,Z2673394574,C14H18N2O,Racemic or presumed racemic or meso,230.305,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,O04,CC=1C=CN=C(C)C1NC(=O)C2CC3CC3C2,"N-(2,4-dimethylpyridin-3-yl)bicyclo[3.1.0]hexane-3-carboxamide"
MAT-POS-590ac91e-20,Z2673394574,C14H18N2O,Racemic or presumed racemic or meso,230.305,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,P04,CC=1C=CN=C(C)C1NC(=O)C2CC3CC3C2,"N-(2,4-dimethylpyridin-3-yl)bicyclo[3.1.0]hexane-3-carboxamide"
JAG-UCB-4709a583-1,Z1348442959,C15H13ClN6O,Racemic or presumed racemic or meso,328.756,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,A05,ClC=1C=CC=C(C1)N2CCC(NC3=NC=CN4C=NN=C34)C2=O,"1-(3-chlorophenyl)-3-({[1,2,4]triazolo[4,3-a]pyrazin-8-yl}amino)pyrrolidin-2-one"
JAG-UCB-4709a583-1,Z1348442959,C15H13ClN6O,Racemic or presumed racemic or meso,328.756,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,B05,ClC=1C=CC=C(C1)N2CCC(NC3=NC=CN4C=NN=C34)C2=O,"1-(3-chlorophenyl)-3-({[1,2,4]triazolo[4,3-a]pyrazin-8-yl}amino)pyrrolidin-2-one"
MAT-POS-590ac91e-51,Z1171332535,C21H19ClN2O4,Racemic or presumed racemic or meso,398.839,98.33,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,C05,CCN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(Cl)=CC34,"6-chloro-N-[(2,3-dihydro-1,4-benzodioxin-2-yl)methyl]-N-ethyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-51,Z1171332535,C21H19ClN2O4,Racemic or presumed racemic or meso,398.839,98.33,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,D05,CCN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(Cl)=CC34,"6-chloro-N-[(2,3-dihydro-1,4-benzodioxin-2-yl)methyl]-N-ethyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-62,Z1239087273,C21H17FN4O4S,Achiral,440.447,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,E05,FC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4C#N)C2C1,"2-{[4-(6-fluoro-2-oxo-1,2-dihydroquinoline-4-carbonyl)piperazin-1-yl]sulfonyl}benzonitrile"
MAT-POS-590ac91e-62,Z1239087273,C21H17FN4O4S,Achiral,440.447,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,F05,FC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4C#N)C2C1,"2-{[4-(6-fluoro-2-oxo-1,2-dihydroquinoline-4-carbonyl)piperazin-1-yl]sulfonyl}benzonitrile"
JAN-GHE-83b26c96-18,Z4512897824,C14H11Cl2N3O2,Racemic or presumed racemic or meso,324.162,96.06,200415-FTE / COVID-19,hydrogen chloride,1,36.46094,0.5,20,1178796-500NL-01,G05,Cl.ClC=1C=CC=C(C1)N2C(=O)NC(C2=O)C=3C=CC=NC3,"3-(3-chlorophenyl)-5-(pyridin-3-yl)imidazolidine-2,4-dione hydrochloride"
JAN-GHE-83b26c96-18,Z4512897824,C14H11Cl2N3O2,Racemic or presumed racemic or meso,324.162,96.06,200415-FTE / COVID-19,hydrogen chloride,1,36.46094,0.5,20,1178796-500NL-01,H05,Cl.ClC=1C=CC=C(C1)N2C(=O)NC(C2=O)C=3C=CC=NC3,"3-(3-chlorophenyl)-5-(pyridin-3-yl)imidazolidine-2,4-dione hydrochloride"
ERI-UCB-5b47150d-1,Z3532995054,C10H14N2O2,Single known enantiomer,194.23,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,I05,CO[C@H](C)C(=O)NC=1C=NC=CC1C,(2R)-2-methoxy-N-(4-methylpyridin-3-yl)propanamide
