SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID
Cl.ClCC(=O)N1CCN(CC2=CC=C(Cl)S2)CC1,,,AAR-POS-0daf6b7e-2,AAR-POS-0daf6b7e-2,100,40,20,1333027-Y40-01,P07,,not found,
NC=1C=CC(=CC1)S(=O)(=O)NC=2C=CC=CN2,,,Z271004858,Z271004858,100,40,20,1333027-Y40-01,A08,,not found,
C1CC2(CCN(C2)C=3C=NC=CN3)CO1,,,Z1401276297,Z1401276297,100,40,20,1333027-Y40-01,B08,,not found,
Cl.ClCC(=O)N1CCN(CC2=CC=C(Br)S2)CC1,,,JOH-UNI-27ac80fd-23,JOH-UNI-27ac80fd-23,98,40,20,1333027-Y40-01,C08,,not found,
FC=1C=CC=C(C1)S(=O)(=O)N2CCN(CC2)C(=O)CCl,LON-WEI-8f408cad-4,CVD-0001867,LON-WEI-8f408cad-4,LON-WEI-8f408cad-4,100,40,20,1333027-Y40-01,D08,,,
OC=1C=CC=CC1NC(=O)C2CCN(CC2)C(=O)CCl,,,AAR-POS-0daf6b7e-6,AAR-POS-0daf6b7e-6,95,40,20,1333027-Y40-01,E08,,not found,
ClCC(=O)NC=1C=CC=C(C1)N2CCCC2=O,,,LON-WEI-8f408cad-1,LON-WEI-8f408cad-1,100,40,20,1333027-Y40-01,F08,,not found,
CC=1C=CC(=C(C)C1)S(=O)(=O)N2CCN(CC2)C(=O)CCl,,,AAR-POS-d2a4d1df-36,AAR-POS-d2a4d1df-36,100,40,20,1333027-Y40-01,G08,,not found,
CC=1C=CC=C(CN2CCN(CC2)C(=O)CCl)C1,,,AAR-POS-d2a4d1df-24,AAR-POS-d2a4d1df-24,100,40,20,1333027-Y40-01,H08,,not found,
Cl.ClCC(=O)N1CCN(CC2=CC=CS2)CC1,,,LON-WEI-8f408cad-5,LON-WEI-8f408cad-5,100,40,20,1333027-Y40-01,I08,,not found,
ClCC(=O)N1CCCC(C1)C2=NC=3C=CC=CC3S2,,,AAR-POS-d2a4d1df-30,AAR-POS-d2a4d1df-30,95,40,20,1333027-Y40-01,J08,,not found,
O=S1(=O)CCN(CC2=CC=CO2)CC1,MAT-POS-162a9720-12,CVD-0017157,Z2856434926,Z2856434926,100,40,20,1333027-Y40-01,K08,,,
ClC=1C=CC=C(CN2CCOCC2)C1,AAR-POS-0daf6b7e-29,CVD-0004450,Z2856434856,Z2856434856,100,40,20,1333027-Y40-01,L08,,,
FC=1C=CC=CC1C(=O)NCCC=2C=CN=CC2,,,Z1310876699,Z1310876699,100,40,20,1333027-Y40-01,M08,,not found,
CC1=NN=C(CN2CCC=C(F)C2)S1,,,Z1619978933,Z1619978933,100,40,20,1333027-Y40-01,N08,,not found,
CN1CCN(CC1)C(=O)CC2=CNC=3N=CC=CC23,,,Z1400780201,Z1400780201,95,40,20,1333027-Y40-01,O08,,not found,
CN(CC=1C=C(C)ON1)C(=O)NC2CC2,,,Z369936976,Z369936976,95,40,20,1333027-Y40-01,P08,,not found,
OC=1C=CC=CC1CNC2=NC=3C=CC=CC3N2,,,Z1587220559,Z1587220559,96,40,20,1333027-Y40-01,A09,,not found,
COCCN1C=CC(Br)=CC1=O,MAT-POS-162a9720-13,CVD-0017158,NCL-00024387,NCL-00024387,100,40,20,1333027-Y40-01,B09,,,
CC1CNCCN1CCO,MAT-POS-162a9720-14,CVD-0017159,Z1741794237,Z1741794237,95,40,20,1333027-Y40-01,C09,,,
CC1CN(CCO1)C(=O)CN2C=CC=N2,,,Z217038356,Z217038356,92,40,20,1333027-Y40-01,D09,,not found,
