SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID,"Amount, mg (left)"
ClC=1C=CC=2OCCC(CC(=O)NC3=NN=CO3)(C(=O)NC=4C=NC=C5C=CC=CC45)C2C1,CHO-MSK-a31cca77-1,CVD-0015251,CHO-MSK-a31cca77-1,Z4898404649,94.32,40,20,1178796-Y40-53,03_K,Racemic or presumed racemic or meso,,H3090086,UNK
"O[C@@H]1CCC[C@H]1S(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2 |&1:1,5,r|",MAT-POS-61f37a1a-2,CVD-0017253,MAT-POS-4223bc15-9,Z4989682614,98.0,40,20,1178796-Y40-53,03_L,Diastereomeric mixture,,H3090686,UNK
ClC=1C=CC=2OCCC(C(=O)OC=3C=NC=C4C=CC=CC34)C2C1,,,DAR-DIA-6a508060-2,Z4973466399,98.5,40,20,1178796-Y40-53,03_M,Racemic or presumed racemic or meso,not found,H3093239,UNK
ClC=1C=CC=2OCCC(CNCCN3C(=O)C=4C=CC=CC4C3=O)(C(=O)NC=5C=NC=C6C=CC=CC56)C2C1,MAT-POS-61f37a1a-3,CVD-0017254,KAD-UNI-cb0f2bbc-22,Z4984330291,90.76,40,20,1178796-Y40-53,03_N,Racemic or presumed racemic or meso,,H3089937,UNK
CN1N=NC(CNC(=O)OC(C)(C)C)=C1CNCC2(CCOC=3C=CC(Cl)=CC32)C(=O)NC=4C=NC=C5C=CC=CC45,MAT-POS-61f37a1a-4,CVD-0017255,KAD-UNI-cb0f2bbc-3,Z4984330308,96.89,40,20,1178796-Y40-53,03_O,Racemic or presumed racemic or meso,,H3089932,UNK
ClC=1C=CC=2OCCC(CNC(=O)C=C)(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,MAT-POS-e6dd326d-8,CVD-0016880,MAT-POS-e6dd326d-8,Z4973373647,100.0,40,20,1178796-Y40-53,03_P,Racemic or presumed racemic or meso,,H3089905,UNK
CN1C=C(CN2CC(C(=O)NC=3C=NC=C4C=CC(F)=CC34)C=5C=C(Cl)C=CC5C2)N=N1,MAT-POS-61f37a1a-5,CVD-0017256,EDJ-MED-009f762b-3,Z4987831245,100.0,40,20,1178796-Y40-53,04_A,Racemic or presumed racemic or meso,,H3099334,UNK
COC=1C=C(CNCC2(CCOC=3C=CC(Cl)=CC32)C(=O)NC=4C=NC=C5C=CC=CC45)C=C(OC)C1OCC(=O)N,MAT-POS-61f37a1a-6,CVD-0017257,KAD-UNI-cb0f2bbc-16,Z4984330297,100.0,40,20,1178796-Y40-53,04_B,Racemic or presumed racemic or meso,,H3089919,UNK
ClC=1C=CC=2OCCC(CNCC3=CN(CC4CCOC4)N=N3)(C(=O)NC=5C=NC=C6C=CC=CC56)C2C1,MAT-POS-61f37a1a-7,CVD-0017258,KAD-UNI-cb0f2bbc-24,Z4984330289,100.0,40,20,1178796-Y40-53,04_C,Diastereomeric mixture,,H3089921,UNK
ClC=1C=CC2=C(OCCC2(CNC3=CNC(=O)NC3=O)C(=O)NC=4C=NC=C5C=CC=CC45)C1,ALP-POS-a0a4abd7-1,CVD-0016490,ALP-POS-a0a4abd7-1,Z4950528898,90.12,40,20,1178796-Y40-53,04_D,Racemic or presumed racemic or meso,,H3099354,UNK
CC1=NN(C)C(N2CCOCC2)=C1CNCC3(CCOC=4C=CC(Cl)=CC43)C(=O)NC=5C=NC=C6C=CC=CC56,MAT-POS-61f37a1a-8,CVD-0017259,KAD-UNI-cb0f2bbc-17,Z4984330296,94.18,40,20,1178796-Y40-53,04_E,Racemic or presumed racemic or meso,,H3089946,UNK
