shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg (left)"
ALP-POS-ecbed2ba-16,Z5461592495,C25H24ClN5O3S,Racemic or presumed racemic or meso,510.007,100,COVID-19,,,0,40,20,1326826-Y40-39,03_K,CN(CCC#N)S(=O)(=O)N1CC=2C=CC(Cl)=CC2C3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C1,"3-({[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}(methyl)amino)propanenitrile",H3709548,22.5
ALP-POS-ecbed2ba-9,Z5461592472,C25H22ClN5O3S,Racemic or presumed racemic or meso,507.991,100,COVID-19,,,0,40,20,1326826-Y40-39,03_L,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)N6CC(C6)C#N,"1-{[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}azetidine-3-carbonitrile",H3709549,0
ALP-POS-ecbed2ba-22,Z5461592518,C27H25ClN4O3S,Racemic or presumed racemic or meso,521.030,98.1,COVID-19,,,0,40,20,1326826-Y40-39,03_M,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CC#N)CC6,"2-[1-({[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}methyl)cyclopropyl]acetonitrile",H3711280,9.1
EDG-MED-b1ef7fe3-4,Z5442718008,C24H20Cl2N4O3,Racemic or presumed racemic or meso,483.346,100,COVID-19,,,0,40,20,1326826-Y40-39,03_N,CNC(=O)CN1CC2(CCN(C2=O)C=3C=NC=C4C=C(Cl)C=CC34)C=5C=C(Cl)C=CC5C1=O,"2-[6-chloro-1'-(7-chloroisoquinolin-4-yl)-1,2'-dioxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]-N-methylacetamide",H3703633,6.7
MAT-POS-853c0ffa-10,Z5461592534,C30H35ClN4O5S,Racemic or presumed racemic or meso,599.140,97.96,COVID-19,,,0,40,20,1326826-Y40-39,03_O,COC1(CS(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC(OCCN(C)C)=CC56)C2)CC1,"6-chloro-1'-{6-[2-(dimethylamino)ethoxy]isoquinolin-4-yl}-2-[(1-methoxycyclopropyl)methanesulfonyl]-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2'-one",H3703494,46.7
ALP-POS-ecbed2ba-18,Z5461592500,C24H25ClN4O3S,Racemic or presumed racemic or meso,484.998,97,COVID-19,,,0,40,20,1326826-Y40-39,03_P,CCN(C)S(=O)(=O)N1CC=2C=CC(Cl)=CC2C3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C1,"6-chloro-N-ethyl-1'-(isoquinolin-4-yl)-N-methyl-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidine]-2-sulfonamide",H3703489,23.5
EDJ-MED-976a33d5-1,Z5489567287,C26H23ClN4O3,Racemic or presumed racemic or meso,474.938,100,COVID-19,,,0,40,20,1326826-Y40-39,04_A,CNC(=O)C1(CC1)N2CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C=6C=C(Cl)C=CC6C2=O,"1-[6-chloro-1'-(isoquinolin-4-yl)-1,2'-dioxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]-N-methylcyclopropane-1-carboxamide",H3690762,43.8
MAT-POS-853c0ffa-5,Z5461592523,C26H22Cl2N4O3S,Racemic or presumed racemic or meso,541.448,97.3,COVID-19,,,0,40,20,1326826-Y40-39,04_B,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=C(Cl)C45)C2C1)S(=O)(=O)CC6(CC6)C#N,"1-({[6-chloro-1'-(5-chloroisoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}methyl)cyclopropane-1-carbonitrile",H3703596,4.4
EDJ-MED-cc48ee33-5,Z5600473267,C27H24ClN5O2,Racemic or presumed racemic or meso,485.964,100,COVID-19,,,0,40,20,1326826-Y40-39,04_C,CC=1C=C(C(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2)N(C)N1,"6-chloro-2-(1,3-dimethyl-1H-pyrazole-5-carbonyl)-1'-(isoquinolin-4-yl)-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2'-one",H3728915,44.5
EDJ-MED-cc48ee33-4,Z5600473269,C27H24ClN5O2,Racemic or presumed racemic or meso,485.964,99.04,COVID-19,,,0,40,20,1326826-Y40-39,04_D,CC=1C=NN(C)C1C(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2,"6-chloro-2-(1,4-dimethyl-1H-pyrazole-5-carbonyl)-1'-(isoquinolin-4-yl)-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2'-one",H3728922,48.4
ALP-POS-ecbed2ba-20,Z5461592511,C24H23ClN4O3S,Racemic or presumed racemic or meso,482.982,95.44,COVID-19,,,0,40,20,1326826-Y40-39,04_E,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)N6CCC6,"2-(azetidine-1-sulfonyl)-6-chloro-1'-(isoquinolin-4-yl)-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2'-one",H3728917,1.9
MAT-POS-be048f2c-5,Z5600473270,C27H24ClN5O2,Racemic or presumed racemic or meso,485.964,97.95,COVID-19,,,0,40,20,1326826-Y40-39,04_F,CCN1N=CC=C1C(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2,"6-chloro-2-(1-ethyl-1H-pyrazole-5-carbonyl)-1'-(isoquinolin-4-yl)-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2'-one",H3729169,32.9
ALP-POS-ecbed2ba-12,Z5600794089,C27H27ClN4O2,Racemic or presumed racemic or meso,474.981,98.98,COVID-19,,,0,40,20,1326826-Y40-40,03_A,ClC=1C=CC=2CN(CC(=O)NCC3CC3)CC4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2C1,"2-[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]-N-(cyclopropylmethyl)acetamide",H3737514,18.1
ALP-POS-ecbed2ba-7,Z5489567290,C26H25ClN4O2,Racemic or presumed racemic or meso,460.955,98.95,COVID-19,,,0,40,20,1326826-Y40-40,03_B,CNC(=O)C1(CC1)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2,"1-[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]-N-methylcyclopropane-1-carboxamide",H3741793,3.1
EDJ-MED-fb79a796-3,Z5600473262,C20H21ClN6O3S,Racemic or presumed racemic or meso,460.937,100,COVID-19,,,0,40,20,1326826-Y40-40,03_C,ClC=1C=CC=2CN(CC(C(=O)NC3=NN=CN3C4CC4)C2C1)S(=O)(=O)CC5(CC5)C#N,"6-chloro-2-[(1-cyanocyclopropyl)methanesulfonyl]-N-(4-cyclopropyl-4H-1,2,4-triazol-3-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3728911,26.4
MAT-POS-853c0ffa-6,Z5461592527,C26H21Cl2FN4O3S,Racemic or presumed racemic or meso,559.439,96,COVID-19,,,0,40,20,1326826-Y40-40,03_D,FC=1C=C(Cl)C=2C(=CN=CC2C1)N3CCC4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O,"1-({[6-chloro-1'-(5-chloro-7-fluoroisoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}methyl)cyclopropane-1-carbonitrile",H3743897,18.8
MAT-POS-be048f2c-7,Z5600473272,C28H24ClN5O2,Racemic or presumed racemic or meso,497.975,100,COVID-19,,,0,40,20,1326826-Y40-40,03_E,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)C(=O)C6=CC=NN6C7CC7,"6-chloro-2-(1-cyclopropyl-1H-pyrazole-5-carbonyl)-1'-(isoquinolin-4-yl)-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2'-one",H3724880,8.6
MAT-POS-be048f2c-6,Z5600473271,C28H26ClN5O2,Racemic or presumed racemic or meso,499.991,100,COVID-19,,,0,40,20,1326826-Y40-40,03_F,CC(C)N1N=CC=C1C(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2,"6-chloro-1'-(isoquinolin-4-yl)-2-[1-(propan-2-yl)-1H-pyrazole-5-carbonyl]-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2'-one",H3726691,19.1
MIK-UNK-122557fa,Z5550935871,C24H27ClN4O2,Single unknown enantiomer,438.949,96.4,COVID-19,,,0,40,20,1326826-Y40-40,03_G,"CNC(=O)CN1CC=2C=CC(Cl)=CC2[C@]3(CCN(C3=O)C=4C=NC=C5CCCCC45)C1 |o1:14,r|","rel-2-[(4R)-6-chloro-2'-oxo-1'-(5,6,7,8-tetrahydroisoquinolin-4-yl)-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]-N-methylacetamide",H3709664,53.1
MIK-UNK-1619f2e2,Z5550935856,C24H27ClN4O2,Single unknown enantiomer,438.949,100,COVID-19,,,0,40,20,1326826-Y40-40,03_H,"CNC(=O)CN1CC=2C=CC(Cl)=CC2[C@@]3(CCN(C3=O)C=4C=NC=C5CCCCC45)C1 |o1:14,r|","rel-2-[(4R)-6-chloro-2'-oxo-1'-(5,6,7,8-tetrahydroisoquinolin-4-yl)-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]-N-methylacetamide",H3722852,15
MIK-ENA-37e0b697,Z5597290783,C24H21ClN4O3,Single unknown enantiomer,448.901,100,COVID-19,,,0,40,20,1326826-Y40-41,03_A,"CNC(=O)CN1C[C@]2(CCN(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C1=O |o1:7,r|","rel-2-[(4R)-6-chloro-1'-(isoquinolin-4-yl)-1,2'-dioxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]-N-methylacetamide",H3695008,1.1
MIK-ENA-794411b8,Z5597290820,C24H21ClN4O3,Single unknown enantiomer,448.901,100,COVID-19,,,0,40,20,1326826-Y40-41,03_B,"CNC(=O)CN1C[C@@]2(CCN(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C1=O |o1:7,r|","rel-2-[(4R)-6-chloro-1'-(isoquinolin-4-yl)-1,2'-dioxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]-N-methylacetamide",H3695009,2.7
ALP-POS-ecbed2ba-15,Z5461592490,C28H27ClN4O3S,Racemic or presumed racemic or meso,535.056,100,COVID-19,,,0,40,20,1326826-Y40-41,03_C,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CCCC6)C#N,"1-({[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}methyl)cyclopentane-1-carbonitrile",H3755416,11.1
ALP-POS-ecbed2ba-17,Z5461592497,C24H22ClN5O3S,Racemic or presumed racemic or meso,495.981,95,COVID-19,,,0,40,20,1326826-Y40-41,03_D,CN(CC#N)S(=O)(=O)N1CC=2C=CC(Cl)=CC2C3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C1,"2-({[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}(methyl)amino)acetonitrile",H3745390,0.7
MAT-POS-38eb6498-3,Z5631110235,C28H32ClN5O3,Racemic or presumed racemic or meso,522.038,95,COVID-19,,,0,40,20,1326826-Y40-41,03_E,CNC(=O)CN1CC=2C=CC(Cl)=CC2C3(CCN(C3=O)C=4C=NC=C5C=CC(OCCN(C)C)=CC45)C1,"2-(6-chloro-1'-{6-[2-(dimethylamino)ethoxy]isoquinolin-4-yl}-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl)-N-methylacetamide",H3756545,3.4
