shipment_ID,catalog_ID,Formula,stereochemistry,MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name
PAU-UNI-8cd-1,Z4461624330,C13H15Cl3N2O,Achiral,321.63,100,200415-FTE,,,0,40,20,1181202-Y40-01,F06,ClCC(=O)N1CCN(CC=2C=C(Cl)C=C(Cl)C2)CC1,"2-chloro-1-{4-[(3,5-dichlorophenyl)methyl]piperazin-1-yl}ethan-1-one"
NEH-REV-107-5,Z4461624337,C13H17ClN2O3,Achiral,284.73,94.14,200415-FTE,,,0,40,20,1181202-Y40-01,G06,OC=1C=CC(O)=C(CN2CCN(CC2)C(=O)CCl)C1,"2-chloro-1-{4-[(2,5-dihydroxyphenyl)methyl]piperazin-1-yl}ethan-1-one"
DUN-NEW-f8c-22,Z4461624304,C13H17ClN2O3S,Racemic or presumed racemic or meso,316.80,100,200415-FTE,,,0,40,20,1181202-Y40-01,H06,CS(=O)(=O)N1CCN(CC1C=2C=CC=CC2)C(=O)CCl,2-chloro-1-(4-methanesulfonyl-3-phenylpiperazin-1-yl)ethan-1-one
JUA-UNI-bc0-3_thio_pH,Z4461624285,C18H24ClN3O3,Achiral,365.85,100,200415-FTE,,,0,40,20,1181202-Y40-01,I06,ClC=1C=CC=CC1CN(CCN2CCOCC2)C(=O)CNC(=O)C=C,N-({[(2-chlorophenyl)methyl][2-(morpholin-4-yl)ethyl]carbamoyl}methyl)prop-2-enamide
JAN-GHE-bf4-9,Z4461624347,C17H18N4O,Achiral,294.35,95.13,200415-FTE,,,0,40,20,1181202-Y40-01,J06,C=CC(=O)N1CCN(CC2=CNC=3C=CC(C#N)=CC23)CC1,3-{[4-(prop-2-enoyl)piperazin-1-yl]methyl}-1H-indole-5-carbonitrile
BRU-LEF-cf9-1,Z1562119681,C14H23ClN2O2,Racemic or presumed racemic or meso,286.79,97.14,200415-FTE,,,0,40,20,1181202-Y40-01,K06,CC(Cl)C(=O)N1CCC(CC1)C(=O)N2CCCCC2,2-chloro-1-[4-(piperidine-1-carbonyl)piperidin-1-yl]propan-1-one
JOO-IND-637-2,Z4461624332,C13H14ClFN2O2S,Racemic or presumed racemic or meso,316.77,100,200415-FTE,,,0,40,20,1181202-Y40-01,L06,FC(Cl)C(=O)NC=1C=CC=C(C1)C(=O)N2CCSCC2,2-chloro-2-fluoro-N-[3-(thiomorpholine-4-carbonyl)phenyl]acetamide
BAR-COM-4e0-42,Z1673773262,C17H12Cl2N2O3,Achiral,363.19,100,200415-FTE,,,0,40,20,1181202-Y40-01,M06,ClC=1C=CC(OC=2C=CC=CC2C(=O)NCC3=CC=NO3)=C(Cl)C1,"2-(2,4-dichlorophenoxy)-N-[(1,2-oxazol-5-yl)methyl]benzamide"
DUN-NEW-f8c-1,Z4266576100,C16H22N2O2,Racemic diastereomer with known relative stereochemistry,274.35,100,200415-FTE,,,0,40,20,1181202-Y40-01,N06,"NC(=O)[C@@H]1CN(C[C@H]1C=2C=CC=CC2)C3CCOCC3 |&1:3,7,r|","rac-(3R,4S)-1-(oxan-4-yl)-4-phenylpyrrolidine-3-carboxamide"
Z4457849243,Z4457849243,C25H33N3O2,Racemic or presumed racemic or meso,407.54,100,200415-FTE,,,0,40,20,1181202-Y40-01,O06,CC=1N=CC=CC1C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C(=O)NC(C)(C)C,N-[(tert-butylcarbamoyl)(2-methylpyridin-3-yl)methyl]-N-(4-tert-butylphenyl)prop-2-enamide
Z4457849191,Z4457849191,C28H29N3O4,Racemic or presumed racemic or meso,471.54,95.98,200415-FTE,,,0,40,20,1181202-Y40-01,P06,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=3OCCOC3C2)C=4C=CC=NC4)C(=O)C=C,"N-(4-tert-butylphenyl)-N-{[(2,3-dihydro-1,4-benzodioxin-6-yl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide"
Z4457849231,Z4457849231,C23H27N3O2,Racemic or presumed racemic or meso,377.47,97.94,200415-FTE,,,0,40,20,1181202-Y40-01,A07,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-[(cyclopropylcarbamoyl)(pyridin-3-yl)methyl]prop-2-enamide
Z4457849205,Z4457849205,C27H29N3O3,Racemic or presumed racemic or meso,443.53,100,200415-FTE,,,0,40,20,1181202-Y40-01,B07,COC=1C=CC=CC1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3,N-(4-tert-butylphenyl)-N-{[(2-methoxyphenyl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide
Z4457849214,Z4457849214,C24H31N3O3,Racemic or presumed racemic or meso,409.52,97.28,200415-FTE,,,0,40,20,1181202-Y40-01,C07,COCCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-(4-tert-butylphenyl)-N-{[(3-methoxypropyl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide
Z4457849215,Z4457849215,C26H28N4O2,Racemic or presumed racemic or meso,428.52,90.02,200415-FTE,,,0,40,20,1181202-Y40-01,D07,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC=2C=CC=NC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-[(pyridin-3-yl)({[(pyridin-3-yl)methyl]carbamoyl})methyl]prop-2-enamide
Z4457849224,Z4457849224,C26H28N4O3,Racemic or presumed racemic or meso,444.52,95.25,200415-FTE,,,0,40,20,1181202-Y40-01,E07,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3)=CN1,N-(4-tert-butylphenyl)-N-{[(6-methoxypyridin-3-yl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide
Z4457849228,Z4457849228,C26H26FN3O2,Racemic or presumed racemic or meso,431.50,93.16,200415-FTE,,,0,40,20,1181202-Y40-01,F07,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(F)=CC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-{[(4-fluorophenyl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide
CHR-SOS-709-3,Z244459584,C13H9ClN2O4,Achiral,292.67,86.08,200415-FTE,,,0,40,20,1181202-Y40-01,G07,OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC(=CC2)[N+](=O)[O-],5-chloro-2-hydroxy-N-(4-nitrophenyl)benzamide
