SMILES,external_ID,purity,volume(uL),concentration(mM),% Inhibition at 20 uM (N=1),% Inhibition at 20 uM (N=2),% Inhibition at 50 uM (N=1),% Inhibition at 50 uM (N=2),% Inhibition at 100 uM (N=1),% Inhibition at 100 uM (N=2),location,CID
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-45,91.75,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,LON-WEI-b8d98729-45
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-8,92.79,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,LON-WEI-b8d98729-8
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,LON-WEI-b8d-9,96.22,40,10.0,No Inhibition,6.1085585,,,49.53443043,55.65488425,oxford,LON-WEI-b8d98729-9
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d-10,100.0,40,10.0,No Inhibition,No Inhibition,,,26.39939083,29.14276682,oxford,LON-WEI-b8d98729-10
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-b8d-47,98.34,40,10.0,No Inhibition,No Inhibition,,,39.96429994,41.44043641,oxford,LON-WEI-b8d98729-47
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d-11,83.0,40,10.0,No Inhibition,No Inhibition,,,17.34633715,18.32537073,oxford,LON-WEI-b8d98729-11
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-48,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,LON-WEI-b8d98729-48
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-b8d-12,91.96,40,10.0,9.47667232,11.22967265,,,69.15248347,76.665361,oxford,LON-WEI-b8d98729-12
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-43,96.7,40,10.0,14.89473749,13.7230718,,,81.186481,79.7151649,oxford,LON-WEI-b8d98729-43
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1cccc(F)c1C)c1cccnc1,LON-WEI-b8d-36,96.27,40,10.0,3.682800707,3.887371948,,,50.3461767,51.03342982,oxford,LON-WEI-b8d98729-36
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccccc1Br)c1cccnc1,LON-WEI-b8d-13,96.32,40,10.0,No Inhibition,No Inhibition,,,29.9930728,46.06494602,oxford,LON-WEI-b8d98729-13
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-46,87.4,40,10.0,2.979711817,No Inhibition,,,49.37656548,52.91578894,oxford,LON-WEI-b8d98729-46
