CDD_ID,registration_SMILES,batch_number,batch_ID,shipment_SMILES,suspected_SMILES,why_suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (±),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50
CVD-0014806,Clc1ccc2NCC[C@H](C(=O)Nc3cncc4ccccc34)c2c1,1,EDJ-MED-92e193ae-2,"ClC=1C=CC=2NCC[C@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1 |o1:8,r|",O=C(Nc1cncc2ccccc12)[C@H]1CCNc2ccc(Cl)cc21 |o1:13|,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014805,Clc1ccc2NCC[C@@H](C(=O)Nc3cncc4ccccc34)c2c1,1,EDJ-MED-92e193ae-1,"ClC=1C=CC=2NCC[C@@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1 |o1:8,r|",O=C(Nc1cncc2ccccc12)[C@@H]1CCNc2ccc(Cl)cc21 |o1:13|,shipment_SMILES,0.230,0.23,,1,6.6
CVD-0014513,NC[C@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,1,EDG-MED-971238d3-5,"Cl.Cl.NC[C@]1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34 |o1:4,r|",Cl.Cl.NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21 |o1:4|,shipment_SMILES,5.02,5.02,,1,5.3
CVD-0014512,N[C@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,1,EDG-MED-971238d3-4,"N[C@]1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34 |o1:1,r|",N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21 |o1:1|,shipment_SMILES,47.5,47.5,,1,4.3
CVD-0014509,O[C@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,1,EDG-MED-971238d3-1,"O[C@]1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34 |o1:1,r|",O=C(Nc1cncc2ccccc12)[C@]1(O)CCOc2ccc(Cl)cc21 |o1:13|,shipment_SMILES,0.988,0.988,,1,6.0
CVD-0014508,Clc1ccc(cc1)C1CCCN(C1=O)c1cncc2ccccc12,1,ALP-POS-ce760d3f-8,ClC=1C=CC(=CC1)C2CCCN(C2=O)C=3C=NC=C4C=CC=CC34,O=C1C(c2ccc(Cl)cc2)CCCN1c1cncc2ccccc12,shipment_SMILES,78.2,78.2,,1,4.1
CVD-0014507,COc1ccc2cncc(NC(=O)C3=CCOc4ccc(Cl)cc34)c2c1,1,ALP-POS-ce760d3f-6,COC=1C=CC=2C=NC=C(NC(=O)C3=CCOC=4C=CC(Cl)=CC34)C2C1,COc1ccc2cncc(NC(=O)C3=CCOc4ccc(Cl)cc43)c2c1,shipment_SMILES,(IC50 could not be calculated),,,,
CVD-0014506,Fc1ccc2cncc(NC(=O)C3=CCOc4ccc(Cl)cc34)c2c1,1,ALP-POS-ce760d3f-5,FC=1C=CC=2C=NC=C(NC(=O)C3=CCOC=4C=CC(Cl)=CC34)C2C1,O=C(Nc1cncc2ccc(F)cc12)C1=CCOc2ccc(Cl)cc21,shipment_SMILES,(IC50 could not be calculated),,,,
CVD-0014505,[O-][n+]1cc(NC(=O)[C@H]2CCOc3ccc(Cl)cc23)c2ccccc2c1,1,ALP-POS-ce760d3f-4,"[O-][N+]=1C=C(NC(=O)[C@H]2CCOC=3C=CC(Cl)=CC23)C=4C=CC=CC4C1 |o1:7,r|",O=C(Nc1c[n+]([O-])cc2ccccc12)[C@H]1CCOc2ccc(Cl)cc21 |o1:14|,shipment_SMILES,48.1,30.9,24.3,2,4.5
CVD-0014505,[O-][n+]1cc(NC(=O)[C@H]2CCOc3ccc(Cl)cc23)c2ccccc2c1,1,ALP-POS-ce760d3f-4,"[O-][N+]=1C=C(NC(=O)[C@H]2CCOC=3C=CC(Cl)=CC23)C=4C=CC=CC4C1 |o1:7,r|",O=C(Nc1c[n+]([O-])cc2ccccc12)[C@H]1CCOc2ccc(Cl)cc21 |o1:14|,shipment_SMILES,13.7,30.9,24.3,2,4.5
CVD-0014504,Clc1ccc2OCC[C@H](C(=O)Nc3cncc4ccncc34)c2c1,1,ALP-POS-ce760d3f-3,"ClC=1C=CC=2OCC[C@H](C(=O)NC=3C=NC=C4C=CN=CC34)C2C1 |o1:8,r|",O=C(Nc1cncc2ccncc12)[C@H]1CCOc2ccc(Cl)cc21 |o1:13|,shipment_SMILES,0.991,0.991,,1,6.0
CVD-0014503,Clc1ccc2OCC[C@@H](C(=O)Nc3cncc4cnccc34)c2c1,1,BEN-DND-4f474d93-1,ClC=1C=CC=2OCC[C@@H](C(=O)NC=3C=NC=C4C=NC=CC34)C2C1,O=C(Nc1cncc2cnccc12)[C@@H]1CCOc2ccc(Cl)cc21,shipment_SMILES,3.10,3.1,,1,5.5
CVD-0014502,Oc1cc(Cl)cc2C(CCOc12)C(=O)Nc1cncc2ccccc12,1,ALP-POS-ce760d3f-1,OC=1C=C(Cl)C=C2C(CCOC12)C(=O)NC=3C=NC=C4C=CC=CC34,O=C(Nc1cncc2ccccc12)C1CCOc2c(O)cc(Cl)cc21,shipment_SMILES,0.579,0.579,,1,6.2
CVD-0014471,Clc1ccc2OCCC3(NC(=O)N(C3=O)c3cncc4ccccc34)c2c1,1,VLA-UCB-29506327-1,ClC=1C=CC=2OCCC3(NC(=O)N(C3=O)C=4C=NC=C5C=CC=CC45)C2C1,O=C1NC2(CCOc3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,shipment_SMILES,1.32,1.32,,1,5.9
CVD-0014470,Clc1cccc(c1)N1CCN(CC1)C(=O)c1cc(=O)cc[nH]1,1,MAT-POS-8fd29122-2,OC=1C=CN=C(C1)C(=O)N2CCN(CC2)C=3C=CC=C(Cl)C3,O=C(c1cc(O)ccn1)N1CCN(c2cccc(Cl)c2)CC1,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014469,COc1ccccc1OCCNC(=O)c1cc(=O)cc[nH]1,1,MAT-POS-8fd29122-1,COC=1C=CC=CC1OCCNC(=O)C=2C=C(O)C=CN2,COc1ccccc1OCCNC(=O)c1cc(O)ccn1,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014468,Clc1ccc(CC(=O)Nc2cncc3ccccc23)cc1Cl,1,MAT-POS-23a8a11a-1,ClC=1C=CC(CC(=O)NC=2C=NC=C3C=CC=CC23)=CC1Cl,O=C(Cc1ccc(Cl)c(Cl)c1)Nc1cncc2ccccc12,shipment_SMILES,0.384,0.281,0.146,2,6.6
CVD-0014468,Clc1ccc(CC(=O)Nc2cncc3ccccc23)cc1Cl,1,MAT-POS-23a8a11a-1,ClC=1C=CC(CC(=O)NC=2C=NC=C3C=CC=CC23)=CC1Cl,O=C(Cc1ccc(Cl)c(Cl)c1)Nc1cncc2ccccc12,shipment_SMILES,0.178,0.281,0.146,2,6.6
CVD-0014466,Clc1cccc(c1)N1CCN(CC1)C(=O)C1CC(=O)Nc2ccccc12,1,MAT-POS-450cb4f9-1,ClC=1C=CC=C(C1)N2CCN(CC2)C(=O)C3CC(=O)NC=4C=CC=CC34,O=C1CC(C(=O)N2CCN(c3cccc(Cl)c3)CC2)c2ccccc2N1,shipment_SMILES,20.9,20.9,,1,4.7
CVD-0014463,COc1ccccc1OCCNC(=O)c1cc(=O)ccn1C,1,PET-UNK-752bebd6-1,COC=1C=CC=CC1OCCNC(=O)C2=CC(=O)C=CN2C,COc1ccccc1OCCNC(=O)c1cc(=O)ccn1C,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014426,COC(=O)\C=C\C(=O)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc12)c1cncc2ccccc12,1,DAR-DIA-5ff57136-9,"COC(=O)/C=C/C(=O)N(C(=O)[C@@H]1CCOC=2C=CC(Cl)=CC12)C=3C=NC=C4C=CC=CC34 |o1:11,r|",COC(=O)/C=C/C(=O)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12 |o1:11|,shipment_SMILES,0.500,0.5,,1,6.3
