CID,SMILES,canonical_CID,inchikey,old_CID,short_inchikey
MAK-UNK-10572812-16,CN1CCN(C(=O)Cc2c[nH]c3ncc(C(=O)NCCc4c[nH]c5ccc(F)cc45)cc23)CC1,MAK-UNK-10572812-16,KHRAZRCCBFXXQG-UHFFFAOYSA-N,MAK-UNK-105-16,KHRAZRCCBFXXQG
MAK-UNK-10572812-17,CN1CCN(C(=O)Cc2c[nH]c3nc(C(=O)NCCc4c[nH]c5ccc(F)cc45)ccc23)CC1,MAK-UNK-10572812-17,GDRBHJOVGBKVFJ-UHFFFAOYSA-N,MAK-UNK-105-17,GDRBHJOVGBKVFJ
MAK-UNK-10572812-2,CC(=O)NC(Cc1c[nH]c2ccc(F)cc12)N1CCN(C(=O)Cc2c[nH]c3ncccc23)CC1,MAK-UNK-10572812-2,WYQKVCHOQAMNDE-UHFFFAOYSA-N,MAK-UNK-105-2,WYQKVCHOQAMNDE
MAK-UNK-10572812-3,CN1CCN(C(=O)C(C(=O)NCCc2c[nH]c3ccc(F)cc23)c2c[nH]c3ncccc23)CC1,MAK-UNK-10572812-3,PQGUDTCSOPZVBI-UHFFFAOYSA-N,MAK-UNK-105-3,PQGUDTCSOPZVBI
MAK-UNK-10572812-4,O=C1NC(Cc2c[nH]c3ccc(F)cc23)N2CCN(CC2)C(=O)C1c1c[nH]c2ncccc12,MAK-UNK-10572812-4,MCQGDENMBDPDKP-UHFFFAOYSA-N,MAK-UNK-105-4,MCQGDENMBDPDKP
MAK-UNK-10572812-5,O=C1NCC(c2c[nH]c3ccc(F)cc23)N2CCN(CC2)C(=O)C1c1c[nH]c2ncccc12,MAK-UNK-10572812-5,XREGXTCBJRYGTA-UHFFFAOYSA-N,MAK-UNK-105-5,XREGXTCBJRYGTA
MAK-UNK-10572812-6,CN1CCN(C(=O)Cc2c[nH]c3ncccc23)C(C(=O)NCCc2c[nH]c3ccc(F)cc23)C1,MAK-UNK-10572812-6,HYCFRIKDZYNCCG-UHFFFAOYSA-N,MAK-UNK-105-6,HYCFRIKDZYNCCG
MAK-UNK-10572812-7,CN1CCN(C(=O)Cc2c[nH]c3ncccc23)CC1C(=O)NCCc1c[nH]c2ccc(F)cc12,MAK-UNK-10572812-7,WODDHOKQOAHGTL-UHFFFAOYSA-N,MAK-UNK-105-7,WODDHOKQOAHGTL
MAK-UNK-10572812-8,O=C(CN1CCN(C(=O)Cc2c[nH]c3ncccc23)CC1)NCCc1c[nH]c2ccc(F)cc12,MAK-UNK-10572812-8,AHFGWDISIZTIMY-UHFFFAOYSA-N,MAK-UNK-105-8,AHFGWDISIZTIMY
MAK-UNK-10572812-9,O=C(Cc1c[nH]c2ncccc12)N1CCN(C(=O)NCCc2c[nH]c3ccc(F)cc23)CC1,MAK-UNK-10572812-9,VBGNVPGJIKGNBI-UHFFFAOYSA-N,MAK-UNK-105-9,VBGNVPGJIKGNBI
MAK-UNK-129dcd6f-1,CC(=O)Nc1cnccc1-c1ncccc1NC(=O)Nc1ccccc1,MAK-UNK-129dcd6f-1,XGZLBCSZJHVBQK-UHFFFAOYSA-N,MAK-UNK-129-1,XGZLBCSZJHVBQK
MAK-UNK-129dcd6f-10,Cc1ccncc1NC(=O)c1ccccc1NC(=O)Nc1cccnc1,MAK-UNK-129dcd6f-10,MWRJZNSRAWAPSQ-UHFFFAOYSA-N,MAK-UNK-129-10,MWRJZNSRAWAPSQ
MAK-UNK-129dcd6f-11,Cc1ccncc1NC(=O)c1cccc(NC(=O)Nc2cccnc2)c1,MAK-UNK-129dcd6f-11,XJWJPCIRUPUJMT-UHFFFAOYSA-N,MAK-UNK-129-11,XJWJPCIRUPUJMT
MAK-UNK-129dcd6f-12,Cc1ccncc1NC(=O)c1ccc(NC(=O)Nc2cccnc2)cc1,MAK-UNK-129dcd6f-12,BJLPNVNPWHXEIY-UHFFFAOYSA-N,MAK-UNK-129-12,BJLPNVNPWHXEIY
MAK-UNK-129dcd6f-13,CC(=O)Nc1cnccc1-c1cccc(NC(=O)Nc2cccnc2)c1,MAK-UNK-129dcd6f-13,HTRNJUSFAXNLPX-UHFFFAOYSA-N,MAK-UNK-129-13,HTRNJUSFAXNLPX
MAK-UNK-129dcd6f-14,CC(=O)Nc1cnccc1-c1ncccc1NC(=O)Nc1ccccc1,MAK-UNK-129dcd6f-14,XGZLBCSZJHVBQK-UHFFFAOYSA-N,MAK-UNK-129-14,XGZLBCSZJHVBQK
MAK-UNK-129dcd6f-15,Cc1ccncc1NC(=O)c1ccncc1NC(=O)Nc1ccccc1,MAK-UNK-129dcd6f-15,LINZXBWCSSUPOD-UHFFFAOYSA-N,MAK-UNK-129-15,LINZXBWCSSUPOD
MAK-UNK-129dcd6f-16,Cc1ccncc1NC(=O)c1cncc(NC(=O)Nc2ccccc2)c1,MAK-UNK-129dcd6f-16,IVVRINMYBSPTLY-UHFFFAOYSA-N,MAK-UNK-129-16,IVVRINMYBSPTLY
MAK-UNK-129dcd6f-17,Cc1ccncc1NC(=O)c1ccc(NC(=O)Nc2ccccc2)cn1,MAK-UNK-129dcd6f-17,UCJSWYUXSNJXMF-UHFFFAOYSA-N,MAK-UNK-129-17,UCJSWYUXSNJXMF
MAK-UNK-129dcd6f-18,Cc1ccncc1NC(=O)c1ncccc1NC(=O)Nc1ccccc1,MAK-UNK-129dcd6f-18,RFWUVHLONUYKSU-UHFFFAOYSA-N,MAK-UNK-129-18,RFWUVHLONUYKSU
MAK-UNK-129dcd6f-2,CC(=O)Nc1cnccc1-c1cccc(NC(=O)Nc2cccnc2)c1,MAK-UNK-129dcd6f-2,HTRNJUSFAXNLPX-UHFFFAOYSA-N,MAK-UNK-129-2,HTRNJUSFAXNLPX
MAK-UNK-129dcd6f-3,CC(=O)Nc1cnccc1-c1ccc(NC(=O)Nc2cccnc2)cc1,MAK-UNK-129dcd6f-3,HTECMQVSNXEFOM-UHFFFAOYSA-N,MAK-UNK-129-3,HTECMQVSNXEFOM
MAK-UNK-129dcd6f-4,Cc1ccncc1NC(=O)c1ccccc1NC(=O)Nc1cccnc1,MAK-UNK-129dcd6f-4,MWRJZNSRAWAPSQ-UHFFFAOYSA-N,MAK-UNK-129-4,MWRJZNSRAWAPSQ
MAK-UNK-129dcd6f-5,CC(=O)Nc1cnccc1-c1ccccc1NC(=O)Nc1cccnc1,MAK-UNK-129dcd6f-5,IEXDEKIULGCBAE-UHFFFAOYSA-N,MAK-UNK-129-5,IEXDEKIULGCBAE
MAK-UNK-129dcd6f-6,CC(=O)Nc1cnccc1-c1ccncc1NC(=O)Nc1ccccc1,MAK-UNK-129dcd6f-6,SHLIYCQLWVCCNW-UHFFFAOYSA-N,MAK-UNK-129-6,SHLIYCQLWVCCNW
MAK-UNK-129dcd6f-7,CC(=O)Nc1cnccc1-c1cncc(NC(=O)Nc2ccccc2)c1,MAK-UNK-129dcd6f-7,KQEUNNCJIGNXJD-UHFFFAOYSA-N,MAK-UNK-129-7,KQEUNNCJIGNXJD
MAK-UNK-129dcd6f-8,CC(=O)Nc1cnccc1-c1ccc(NC(=O)Nc2ccccc2)cn1,MAK-UNK-129dcd6f-8,SRGYCAKMTYMVMD-UHFFFAOYSA-N,MAK-UNK-129-8,SRGYCAKMTYMVMD
MAK-UNK-129dcd6f-9,Cc1ccncc1NC(=O)c1cccc(NC(=O)Nc2cccnc2)c1,MAK-UNK-129dcd6f-9,XJWJPCIRUPUJMT-UHFFFAOYSA-N,MAK-UNK-129-9,XJWJPCIRUPUJMT
MAK-UNK-148caf23-1,CCNc1ccc(C#CNCc2cc(-c3ccccc3F)n(S(=O)(=O)c3cccnc3)c2)cn1,MAK-UNK-148caf23-1,PGJJPQYDYRLCOC-UHFFFAOYSA-N,MAK-UNK-148-1,PGJJPQYDYRLCOC
MAK-UNK-148caf23-10,CNC(CNc1ccc(C#N)cn1)c1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,MAK-UNK-148caf23-10,WFTFFMAPIXYOTI-UHFFFAOYSA-N,MAK-UNK-148-10,WFTFFMAPIXYOTI
