SMILES,CID,fragments,real_space,SCR,BB,covalent_frag,link
O=C(Nc1cccnc1)Nc1ccsc1,DAR-DIA-842-1,"x0434,x0678,x1093",Z1430585289,Z1430585289,False,False,https://covid.postera.ai/covid/submissions/DAR-DIA-842
O=C(Cc1ccsc1)Nc1cccnc1,DAR-DIA-842-10,"x0434,x0678,x1093",Z31791777,False,False,False,https://covid.postera.ai/covid/submissions/DAR-DIA-842
Cn1cc(CC(=O)Nc2cccnc2)cn1,DAR-DIA-842-11,"x0434,x0678,x1093",Z993021208,False,False,False,https://covid.postera.ai/covid/submissions/DAR-DIA-842
Cc1ccc(CC(=O)Nc2cccnc2)s1,DAR-DIA-842-12,"x0434,x0678,x1093",Z815312198,False,False,False,https://covid.postera.ai/covid/submissions/DAR-DIA-842
O=C(Cc1ccc(Cl)s1)Nc1cccnc1,DAR-DIA-842-13,"x0434,x0678,x1093",Z2010253653,False,False,False,https://covid.postera.ai/covid/submissions/DAR-DIA-842
Cn1cc(NC(=O)Nc2cccnc2)cn1,DAR-DIA-842-2,"x0434,x0678,x1093",Z603563998,False,FCH9186936,False,https://covid.postera.ai/covid/submissions/DAR-DIA-842
Cc1ccc(NC(=O)Nc2cccnc2)s1,DAR-DIA-842-3,"x0434,x0678,x1093",Z1286870272,False,False,False,https://covid.postera.ai/covid/submissions/DAR-DIA-842
COc1ccc2[nH]cc(CN(C)C)c2c1,DAR-DIA-eac-35,x0104,False,Z2469657313,EN300-197563,False,https://covid.postera.ai/covid/submissions/DAR-DIA-eac
O=C(CCl)NC(CO)c1cccc(Cl)c1,DAV-CRI-3ed-4,x1382,Z2596884371,False,False,True,https://covid.postera.ai/covid/submissions/DAV-CRI-3ed
CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,DAV-UNI-bdc-2,x0072,False,False,EN300-1710061,False,https://covid.postera.ai/covid/submissions/DAV-UNI-bdc
CN(c1nccnc1C#N)S(C)(=O)=O,DR -UNK-762-1,x0981,False,False,BBV-82785512,True,https://covid.postera.ai/covid/submissions/DR -UNK-762
NC(=O)[C@@H]1CN(Cc2cccnc2)C[C@H]1c1ccccc1,DUN-NEW-d83-1,"x0107,x0874",Z2330669633,False,False,False,https://covid.postera.ai/covid/submissions/DUN-NEW-d83
CS(=O)(=O)NCCN1CCCc2ccc(S(N)(=O)=O)cc21,DUN-NEW-f8c-14,"x0072,x1458",Z1317949519,False,False,True,https://covid.postera.ai/covid/submissions/DUN-NEW-f8c
Cc1ccc(S(=O)(=O)Nc2c(-c3cccnc3)nc3ccccn23)c(C)c1,FRA-BIO-8bf-1,"x0107,x0434,x0874,x0995",Z1393190461,False,False,False,https://covid.postera.ai/covid/submissions/FRA-BIO-8bf
O=S(=O)(Cc1nc(-c2ccncc2)no1)Nc1ccc(N2CCCCC2)cc1,FRA-BIO-8bf-12,"x0107,x0434,x0874,x0995",Z1197799213,False,False,False,https://covid.postera.ai/covid/submissions/FRA-BIO-8bf
Cc1cc(C(C)(C)C)ccc1OC[C@H](O)Cn1cnccc1=O,FRA-BIO-8bf-7,"x0107,x0434,x0874,x0995",Z1347557460,False,False,False,https://covid.postera.ai/covid/submissions/FRA-BIO-8bf
O=C(CC1CCCCC1)Nc1cccnc1,FRA-FAC-9ed-1,x0395,Z31792168,Z31792168,False,False,https://covid.postera.ai/covid/submissions/FRA-FAC-9ed
O=C(Nc1cccnc1)NC1CCC(F)CC1,FRA-FAC-9ed-3,x0395,Z1874822047,False,False,False,https://covid.postera.ai/covid/submissions/FRA-FAC-9ed
O=C(NCCc1c[nH]c2ccc(F)cc12)NCC1CCCCC1,FRA-LAB-04e-1,"x0104,x0678",Z1221750007,False,False,False,https://covid.postera.ai/covid/submissions/FRA-LAB-04e
Cc1ccncc1NC(=O)Cc1ccc(S(N)(=O)=O)cc1,GAB-REV-70c-20,x0107,Z1135790839,False,False,False,https://covid.postera.ai/covid/submissions/GAB-REV-70c
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,GER-UNI-05c-1,x0072,False,Z2210694606,EN300-119504,False,https://covid.postera.ai/covid/submissions/GER-UNI-05c
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,GER-UNI-ec7-1,x0072,False,Z1814381791,EN300-120629,False,https://covid.postera.ai/covid/submissions/GER-UNI-ec7
O=C(C1CCN(c2ccncc2)CC1)N1CCOCC1,GIA-UNK-30c-2,x0540,s_22____57743____14868232,False,False,False,https://covid.postera.ai/covid/submissions/GIA-UNK-30c
