SMILES,CID,REAL,inchikey
O=C(Cc1cccc(Cl)c1)Nn1cn[nH]c1=O,JAN-GHE-5a013bed-4,s_527____8201242____3020520,IADLNEMEFCQDCX-UHFFFAOYSA-N
O=C(Cc1cccc(Cl)c1)Nn1cnnc1,JAN-GHE-5a013bed-5,FCH13527132,QDRSUGMUSIASSU-UHFFFAOYSA-N
O=C(Cc1cccc(Cl)c1)Nc1cnns1,JAN-GHE-5a013bed-6,Z1791179504,NDGULHXVESVSCC-UHFFFAOYSA-N
O=C(Cc1cccc(Cl)c1)Nc1nncs1,JAN-GHE-5a013bed-7,s_22____998706____3020518,DKVAXQGRMWRKTF-UHFFFAOYSA-N
O=C(Cc1cccc(Cl)c1)Nc1cnccn1,JAN-GHE-5a013bed-8,s_11____158040____3020516,DZGGQOBILZZEJW-UHFFFAOYSA-N
Cc1ccncc1NC(=O)C(c1cccc(Cl)c1)N(C)C,JAN-GHE-83b26c96-10,s_22____3391102____4113138,XRWOUNDNLXZKFZ-UHFFFAOYSA-N
Cc1ccc(CC(=O)Nc2cnccc2C)cc1,JAN-GHE-83b26c96-11,s_22____3391102____123958,ADHDKMXDJWXBNY-UHFFFAOYSA-N
Cc1ccncc1NC(=O)Cc1cccc(Br)c1,JAN-GHE-83b26c96-12,s_22____3391102____2562908,ZTLMWKAKNVXEJW-UHFFFAOYSA-N
Cc1ccncc1NC(=O)Cc1cccc(I)c1,JAN-GHE-83b26c96-13,s_22____3391102____7107428,MUVSGYUDBWMCJG-UHFFFAOYSA-N
CCCN(C(=O)Cc1cccc(Cl)c1)c1cccnc1,JAN-GHE-83b26c96-16,s_11____6673486____3020516,CVKCDTUAIDUYQU-UHFFFAOYSA-N
Cc1ccncc1NS(=O)(=O)Cc1cccc(Cl)c1,JAN-GHE-83b26c96-17,s_232682____6893132____10264064,OFCLDLFRKXDHBA-UHFFFAOYSA-N
O=C1NC(c2cccnc2)C(=O)N1c1cccc(Cl)c1,JAN-GHE-83b26c96-18,s_272126____9348554____13258892,GSEMEGPVJJVGNC-UHFFFAOYSA-N
O=C(Nc1cccnc1)Nc1cccc(Cl)c1,JAN-GHE-83b26c96-19,Z44592325,QGLBBAUVPATXPV-UHFFFAOYSA-N
CC(=O)Nc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-2,s_11____8633494____5826326,YRFAWMIACMUIGK-UHFFFAOYSA-N
Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,JAN-GHE-83b26c96-20,s_22____3391102____488342,AIYYCYBWGZIFKY-UHFFFAOYSA-N
Cc1ccncc1NS(=O)(=O)c1cccc(Cl)c1,JAN-GHE-83b26c96-21,s_232682____6893132____3005064,XFTYNEPZRSHDOA-UHFFFAOYSA-N
Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-22,s_22____3391102____5183200,QOWQEKIGADCHLL-UHFFFAOYSA-N
Cc1ccncc1-c1nc(-c2cccc(Cl)c2)no1,JAN-GHE-83b26c96-25,s_265764____4557820____6008026,JGSDJDHTVICSKH-UHFFFAOYSA-N
CC(C(=O)Nc1cnccc1-n1cccn1)c1cccc(Cl)c1,JAN-GHE-83b26c96-3,s_11____3735180____5826326,LMUJWKIRCRWFKF-UHFFFAOYSA-N
Cc1ncncc1NC(=O)C(c1cccc(Cl)c1)C(C)C,JAN-GHE-83b26c96-7,s_22____14958492____6586312,MNQIAPUPTOTKSZ-UHFFFAOYSA-N
CCCC(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,JAN-GHE-83b26c96-8,s_22____3391102____12211640,QJMYJFPUHDEEBX-UHFFFAOYSA-N
Cc1ccncc1NC(=O)C(c1cccc(Cl)c1)C(C)C,JAN-GHE-83b26c96-9,s_22____3391102____6586312,AIEXTLCJBMNDNF-UHFFFAOYSA-N
