SMILES,external_ID,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,CID
BrC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,LON-WEI-b8d-9,Z4439011556,Z4439011556,493.37,96.22,40,10.0,1169103-Y40-01,G06,,LON-WEI-b8d98729-9
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,LON-WEI-b8d-10,Z4439011613,Z4439011613,395.49,100.0,40,10.0,1169103-Y40-01,H06,,LON-WEI-b8d98729-10
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3)=CC1,LON-WEI-b8d-47,Z4439011540,Z4439011540,433.52,98.34,40,10.0,1169103-Y40-01,I06,,LON-WEI-b8d98729-47
CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,LON-WEI-b8d-11,Z4438424285,Z4438424285,448.94,83.0,40,10.0,1169103-Y40-01,J06,,LON-WEI-b8d98729-11
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4,LON-WEI-b8d-48,Z4439011582,Z4439011582,456.55,100.0,40,10.0,1169103-Y40-01,K06,,LON-WEI-b8d98729-48
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3)=CC1,LON-WEI-b8d-12,Z4439011546,Z4439011546,513.48,91.96,40,10.0,1169103-Y40-01,L06,,LON-WEI-b8d98729-12
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3)=C(C)C1,LON-WEI-b8d-43,Z4439011520,Z4439011520,448.51,96.7,40,10.0,1169103-Y40-01,M06,,LON-WEI-b8d98729-43
CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=C(F)C2C)C=3C=CC=NC3)C(=O)C=C,LON-WEI-b8d-36,Z4439011603,Z4439011603,459.55,96.27,40,10.0,1169103-Y40-01,N06,,LON-WEI-b8d98729-36
CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,LON-WEI-b8d-13,Z4438424214,Z4438424214,493.39,96.32,40,10.0,1169103-Y40-01,O06,,LON-WEI-b8d98729-13
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3,LON-WEI-b8d-46,Z4439011581,Z4439011581,446.54,87.4,40,10.0,1169103-Y40-01,P06,,LON-WEI-b8d98729-46
