SMILES,CID,orders,comments
Cc1ccncc1NC(=O)C(c1cccc(Cl)c1)N(C)C,JAN-GHE-83b26c96-10,20200517_moonshot_to_enamine.csv,
Cc1ccc(CC(=O)Nc2cnccc2C)cc1,JAN-GHE-83b26c96-11,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(Br)c1,JAN-GHE-83b26c96-12,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(I)c1,JAN-GHE-83b26c96-13,20200517_moonshot_to_enamine.csv,
CCCN(C(=O)Cc1cccc(Cl)c1)c1cccnc1,JAN-GHE-83b26c96-16,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NS(=O)(=O)Cc1cccc(Cl)c1,JAN-GHE-83b26c96-17,20200517_moonshot_to_enamine.csv,
O=C1NC(c2cccnc2)C(=O)N1c1cccc(Cl)c1,JAN-GHE-83b26c96-18,20200517_moonshot_to_enamine.csv,
O=C(Nc1cccnc1)Nc1cccc(Cl)c1,DAR-DIA-23aa0b97-14,20200517_moonshot_to_enamine.csv,
CC(=O)Nc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-2,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,JAN-GHE-83b26c96-20,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NS(=O)(=O)c1cccc(Cl)c1,JAN-GHE-83b26c96-21,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-22,20200517_moonshot_to_enamine.csv,
Cc1ccncc1-c1nc(-c2cccc(Cl)c2)no1,JAN-GHE-83b26c96-25,20200517_moonshot_to_enamine.csv,
CC(C(=O)Nc1cnccc1-n1cccn1)c1cccc(Cl)c1,JAN-GHE-83b26c96-3,20200517_moonshot_to_enamine.csv,
Cc1ncncc1NC(=O)C(c1cccc(Cl)c1)C(C)C,JAN-GHE-83b26c96-7,20200517_moonshot_to_enamine.csv,
CCCC(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,JAN-GHE-83b26c96-8,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C(c1cccc(Cl)c1)C(C)C,JAN-GHE-83b26c96-9,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(F)c1,ALP-POS-95b75b4d-1,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(O)c1,ALP-POS-95b75b4d-2,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(C(F)(F)F)c1,JAN-GHE-83b26c96-14,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(C2CC2)c1,ALP-POS-95b75b4d-4,20200517_moonshot_to_enamine.csv,
O=C(Cc1cccc(Cl)c1)Nc1cnccc1O,ALP-POS-95b75b4d-6,20200517_moonshot_to_enamine.csv,
Cc1ccncc1Cn1ccccc1=O,JAN-GHE-d851b096-6,20200517_moonshot_to_enamine.csv,
Cc1noc(C)c1CS(=O)(=O)Cc1cccc(Cl)c1,JAG-UCB-a3ef7265-1,20200517_moonshot_to_enamine.csv,
Cn1cnnc1NC(=O)Cc1cccc(Cl)c1F,JAG-UCB-a3ef7265-2,20200517_moonshot_to_enamine.csv,
O=C(Nc1cnccc1CO)[C@@H]1COc2ccc(Cl)cc21,JAG-UCB-a3ef7265-3,20200517_moonshot_to_enamine.csv,
Cc1nnc(NC(=O)Cc2cccc(Cl)c2F)n1C,JAG-UCB-a3ef7265-4,20200517_moonshot_to_enamine.csv,
Cc1c(NC(=O)Cc2cccc(Cl)c2F)cnn1C,JAG-UCB-a3ef7265-5,20200517_moonshot_to_enamine.csv,
Cc1cc(C)cc(CS(=O)(=O)N[C@@]23COC[C@@H]2C3)c1,JAG-UCB-a3ef7265-6,20200517_moonshot_to_enamine.csv,
Cc1cc2c(cc1C)[C@H](C(=O)Nc1cccnc1)CO2,JAG-UCB-a3ef7265-7,20200517_moonshot_to_enamine.csv,
COc1c(NC(=O)Cc2cccc(Cl)c2Cl)c(C)nn1C,JAG-UCB-a3ef7265-8,20200517_moonshot_to_enamine.csv,
Cc1noc(C)c1NC(=O)Cc1cccc(Cl)c1Cl,JAG-UCB-a3ef7265-9,20200517_moonshot_to_enamine.csv,
Cc1nnc(NC(=O)Cc2cccc(Cl)c2F)s1,JAG-UCB-a3ef7265-10,20200517_moonshot_to_enamine.csv,
Cn1nnnc1NC(=O)Cc1csc(C(C)(C)C)n1,JAG-UCB-a3ef7265-11,20200517_moonshot_to_enamine.csv,
Cc1cc(C)cc(NC(=O)Cn2cncc2C)c1,JAG-UCB-a3ef7265-12,20200517_moonshot_to_enamine.csv,
Cc1cc(C)cc(NC(=O)Cc2cnn(C)c2C)c1,JAG-UCB-a3ef7265-13,20200517_moonshot_to_enamine.csv,
Cc1cccc(NC(=O)Cn2cncc2C)n1,JAG-UCB-a3ef7265-14,20200517_moonshot_to_enamine.csv,
Cc1nnc(NC(=O)Cc2cccc(Cl)c2)n1C,JAG-UCB-a3ef7265-15,20200517_moonshot_to_enamine.csv,
Cc1ccc(C)c(N(C)C(=O)Cc2cnn(C)c2C)c1,JAG-UCB-a3ef7265-16,20200517_moonshot_to_enamine.csv,
Cn1cnnc1NC(=O)Cc1cccc(Cl)c1,JAG-UCB-a3ef7265-17,20200517_moonshot_to_enamine.csv,
Cc1cc(C)cc(CC(=O)Nc2nncn2C)c1,JAG-UCB-a3ef7265-18,20200517_moonshot_to_enamine.csv,
Cc1nn(C(C)C)c(C)c1CC(=O)Nc1nncn1C1CC1,JAG-UCB-a3ef7265-19,20200517_moonshot_to_enamine.csv,
O=C(Nc1nncn1C1CC1)[C@@H]1CCOc2ccc(Cl)cc21,JAG-UCB-a3ef7265-20,20200517_moonshot_to_enamine.csv,
Cc1noc([C@@H](C)S(=O)(=O)Cc2cccc(C(F)(F)F)c2)n1,JAG-UCB-a3ef7265-21,20200517_moonshot_to_enamine.csv,
Cc1cc(NC(=O)Cn2cncc2C)cc(C)c1Cl,JAG-UCB-a3ef7265-22,20200517_moonshot_to_enamine.csv,
CCc1ccncc1NC(=O)Cc1cccc(C(F)(F)F)n1,JAG-UCB-a3ef7265-23,20200517_moonshot_to_enamine.csv,
Cc1cc2c(cc1C)[C@H](C(=O)Nc1cncnc1-n1cccn1)CO2,JAG-UCB-a3ef7265-24,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)CCOC1CC1,MAT-POS-590ac91e-10,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)CC(C)C(C)C,MAT-POS-590ac91e-11,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)[C@@H]1CNC(=O)O1,MAT-POS-590ac91e-12,20200517_moonshot_to_enamine.csv,
CC(=O)N[C@@H](C)C(=O)Nc1cnccc1C,MAT-POS-590ac91e-13,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)[C@H](C)OC(F)F,MAT-POS-590ac91e-16,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)CCc1ccn[nH]1,MAT-POS-590ac91e-17,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C1CC(C2CC2)C1,MAT-POS-590ac91e-18,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)[C@@H]1[C@H]2CCCC[C@H]21,MAT-POS-590ac91e-19,20200517_moonshot_to_enamine.csv,
CO[C@@H](C)C(=O)Nc1cnccc1C,MAT-POS-590ac91e-2,20200517_moonshot_to_enamine.csv,
Cc1ccnc(C)c1NC(=O)C1CC2CC2C1,MAT-POS-590ac91e-20,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C1CCC2(CC2)C1,MAT-POS-590ac91e-21,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C1CCC12CCC2,MAT-POS-590ac91e-22,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)CC1CC2CC2C1,MAT-POS-590ac91e-23,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)CC1CC2(CC2)C1,MAT-POS-590ac91e-24,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)CC12CCCC1C2,MAT-POS-590ac91e-25,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)[C@H]1C[C@](O)(C#N)C1,MAT-POS-590ac91e-26,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C1(C#N)CCOC1,MAT-POS-590ac91e-27,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C1C2CCOCC21,MAT-POS-590ac91e-28,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C12CCC(CO1)C2,MAT-POS-590ac91e-29,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)[C@@]12COC[C@@H]1C2,MAT-POS-590ac91e-3,20200517_moonshot_to_enamine.csv,
O=C(NCC1COc2ccccc2O1)c1cc(=O)[nH]c2ccc(F)cc12,MAT-POS-590ac91e-30,20200517_moonshot_to_enamine.csv,
O=C(NCC1COc2ccccc2O1)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-31,20200517_moonshot_to_enamine.csv,
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-32,20200517_moonshot_to_enamine.csv,
CN(CC1COc2ccccc2O1)C(=O)c1cc(=O)[nH]c2ccc(F)cc12,MAT-POS-590ac91e-33,20200517_moonshot_to_enamine.csv,
CN(CC1COc2ccccc2O1)C(=O)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-34,20200517_moonshot_to_enamine.csv,
COc1cccc2c1OCC(NC(=O)c1cc(=O)[nH]c3ccc(F)cc13)C2,MAT-POS-590ac91e-35,20200517_moonshot_to_enamine.csv,
COc1cccc2c1OCC(NC(=O)c1cc(=O)[nH]c3cc(F)ccc13)C2,MAT-POS-590ac91e-36,20200517_moonshot_to_enamine.csv,
COc1ccccc1OCCN(C)C(=O)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-37,20200517_moonshot_to_enamine.csv,
COc1ccccc1OC(C)CNC(=O)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-38,20200517_moonshot_to_enamine.csv,
COc1ccccc1OC(C)CNC(=O)c1cc(=O)[nH]c2ccc(F)cc12,MAT-POS-590ac91e-39,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C12CC(CO1)C2,MAT-POS-590ac91e-4,20200517_moonshot_to_enamine.csv,
COc1ccccc1OCC(C)NC(=O)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-40,20200517_moonshot_to_enamine.csv,
COc1ccccc1OCC(C)NC(=O)c1cc(=O)[nH]c2ccc(F)cc12,MAT-POS-590ac91e-41,20200517_moonshot_to_enamine.csv,
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccc(Cl)cc12,MAT-POS-590ac91e-42,20200517_moonshot_to_enamine.csv,
