SMILES,CID,real_space,SCR,BB,extended_real_space
C=CC(=O)NCc1ccc(C(=O)NCc2cc(C)cc3c(C)c(C)[nH]c23)cc1,JUA-UNI-bc099708-2,Z970632906,False,False,False
C=CC(=O)NCc1ccc(C(=O)N[C@H](CO)c2ccc(Br)c(F)c2)cc1,JUA-UNI-bc099708-4,Z2230105989,False,False,False
O=C(Cc1c[nH]c2ncccc12)Nc1cccnc1,KAL-WAB-eb347ebe-1,Z1400781811,False,False,s_22____57778____7024784
O=C(CCl)N1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,KAY-MCD-d0fe5261-1,Z147647366,Z147647366,EN300-22573,m_270062____7595260____8147258
CC(=O)N1CCN(Cc2cc(O)cc(Cl)c2)CC1,KIM-UNI-2ee5d8f9-1,Z2967471722,False,False,s_270004____8127956____13429486
c1ccc2[nH]ccc2c1,KTA-UNK-dac325de-2,False,Z3371365238,False,False
c1ccncc1,KTA-UNK-dac325de-3,False,Z1741957307,EN300-17264,False
CCSc1cc(Cn2c(C3CCC(=O)N3)nnc2N2CCC(C(N)=O)CC2)ccn1,KUS-THE-322b9b63-12,False,False,False,m_273170____10758752____10759928____13935884
CC(C)N1CCC(O)(Cn2c(-c3ccc[nH]3)nnc2N(C)Cc2cnn(C)c2)CC1,KUS-THE-322b9b63-13,False,False,False,m_273170____10758748____10760352____10766698
CC(C)(Cn1c(C2CCC(=O)N2)nnc1N1CCCC(C(N)=O)C1)c1ccccc1F,KUS-THE-322b9b63-14,False,False,False,m_273170____10757464____10760184____13935884
CC(=O)N1CCN(c2nnc(C3CCC(=O)N3)n2CC(=O)Nc2c(C)cccc2C)CC1,KUS-THE-322b9b63-15,False,False,False,m_273170____10756708____10759894____13935884
NC(=O)C1CCN(c2nnc(C3CCC(=O)N3)n2CCc2cc(F)cc(F)c2)CC1,KUS-THE-322b9b63-16,False,False,False,m_273170____10757354____10759928____13935884
O=S(=O)(NC1CCCCCC1)c1ccsc1-c1nc(C2CCCN2)no1,KUS-THE-322b9b63-20,Z2442610555,False,False,False
Cc1nc(Cn2c(C3CCC(=O)N3)nnc2N2CCNC(=O)C2)sc1C,KUS-THE-322b9b63-21,False,False,False,m_273170____10758326____10765702____13935884
Cc1nnc(Cn2c(C3CCC(=O)N3)nnc2N2CCNC(=O)C2)s1,KUS-THE-322b9b63-22,False,False,False,m_273170____10758090____10765702____13935884
Cc1nc(CCn2c(C3CCC(=O)N3)nnc2N2CCOC(C)(C)C2)n[nH]1,KUS-THE-322b9b63-5,False,False,False,m_273170____10757718____10761594____13935884
