shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg"
KAD-UNI-cb0f2bbc-14,Z4984330298,C31H28ClN7O4,Racemic or presumed racemic or meso,598.051,100,COVID-19,,,0,4,100,1342793-Y4-01,05_Y,COC(=O)C=1C=NC(CN2C=CC(CNCC3(CCOC=4C=CC(Cl)=CC43)C(=O)NC=5C=NC=C6C=CC=CC56)=N2)=CN1,"methyl 5-[(3-{[({6-chloro-4-[(isoquinolin-4-yl)carbamoyl]-3,4-dihydro-2H-1-benzopyran-4-yl}methyl)amino]methyl}-1H-pyrazol-1-yl)methyl]pyrazine-2-carboxylate",H3089917,
KAD-UNI-b13decd3-8,Z4984330282,C28H27ClN4O5,Racemic or presumed racemic or meso,534.990,90.38,COVID-19,,,0,4,100,1342793-Y4-01,05_Z,COC(=O)CCC1=NOC=C1CNCC2(CCOC=3C=CC(Cl)=CC32)C(=O)NC=4C=NC=C5C=CC=CC45,"methyl 3-(4-{[({6-chloro-4-[(isoquinolin-4-yl)carbamoyl]-3,4-dihydro-2H-1-benzopyran-4-yl}methyl)amino]methyl}-1,2-oxazol-3-yl)propanoate",H3095670,
PET-UNK-162c14b2-1,Z4987827473,C21H17ClN4O,Racemic or presumed racemic or meso,376.838,96.43,COVID-19,,,0,4,100,1342793-Y4-01,05_AA,ClC=1C=CC=2CN(CC#N)CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,"6-chloro-2-(cyanomethyl)-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3090101,
MAT-POS-4223bc15-17,Z4973449287,C23H20ClN3O2,Racemic or presumed racemic or meso,405.876,98.67,COVID-19,,,0,4,100,1342793-Y4-01,05_AB,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)C(=O)C5CC5,"6-chloro-2-cyclopropanecarbonyl-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3089887,
RAL-THA-6e4c80cf-2,Z4973449277,C22H20ClN3O3,Racemic or presumed racemic or meso,409.865,100,COVID-19,,,0,4,100,1342793-Y4-01,05_AC,CCOC(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,"ethyl 6-chloro-4-[(isoquinolin-4-yl)carbamoyl]-1,2,3,4-tetrahydroisoquinoline-2-carboxylate",H3089901,
MAT-POS-4223bc15-25,Z4973449329,C21H19ClN4O2,Racemic or presumed racemic or meso,394.854,100,COVID-19,,,0,4,100,1342793-Y4-01,05_AD,NC(=O)CN1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,"2-(carbamoylmethyl)-6-chloro-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3089885,
EDJ-MED-009f762b-4,Z4987831253,C24H21ClFN5O,Racemic or presumed racemic or meso,449.907,96,COVID-19,,,0,4,100,1342793-Y4-01,05_AE,CC1=NC(CN2CC(C(=O)NC=3C=NC=C4C=CC(F)=CC34)C=5C=C(Cl)C=CC5C2)=CN1,"6-chloro-N-(6-fluoroisoquinolin-4-yl)-2-[(2-methyl-1H-imidazol-4-yl)methyl]-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3089889,
MAT-POS-4223bc15-6,Z4973388893,C21H20ClN3O3S,Racemic or presumed racemic or meso,429.919,92.7,COVID-19,,,0,4,100,1342793-Y4-01,05_AF,CCS(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,"6-chloro-2-(ethanesulfonyl)-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3090685,
MAT-POS-4223bc15-23,Z4973449334,C22H21ClN4O2,Racemic or presumed racemic or meso,408.880,100,COVID-19,,,0,4,100,1342793-Y4-01,06_A,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,"6-chloro-N-(isoquinolin-4-yl)-2-[(methylcarbamoyl)methyl]-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3089893,
MAT-POS-4223bc15-22,Z4973449336,C22H20ClN3O3,Racemic or presumed racemic or meso,409.865,100,COVID-19,,,0,4,100,1342793-Y4-01,06_B,COC(=O)CN1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,"methyl 2-{6-chloro-4-[(isoquinolin-4-yl)carbamoyl]-1,2,3,4-tetrahydroisoquinolin-2-yl}acetate",H3089899,
MAT-POS-4223bc15-39,Z4973398691,C24H19ClN4O3,Racemic or presumed racemic or meso,446.885,100,COVID-19,,,0,4,100,1342793-Y4-01,06_C,CC1=NOC=C1C(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2,"6-chloro-N-(isoquinolin-4-yl)-2-(3-methyl-1,2-oxazole-4-carbonyl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3089877,
MAT-POS-4223bc15-24,Z4973449331,C23H23ClN4O2,Racemic or presumed racemic or meso,422.907,100,COVID-19,,,0,4,100,1342793-Y4-01,06_D,CN(C)C(=O)CN1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,"6-chloro-2-[(dimethylcarbamoyl)methyl]-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3089895,
VLA-UNK-70dd90ef-4,Z4972043481,C19H11ClFN3O3,Racemic or presumed racemic or meso,383.760,95.73,COVID-19,,,0,4,100,1342793-Y4-01,06_E,FC=1C=CC=2C=NC=C(N3C(=O)NC4(COC=5C=CC(Cl)=CC54)C3=O)C2C1,"5-chloro-1'-(6-fluoroisoquinolin-4-yl)-2H-spiro[1-benzofuran-3,4'-imidazolidine]-2',5'-dione",H3084986,
MAT-POS-4223bc15-36,Z4973398712,C23H17ClN4O3,Racemic or presumed racemic or meso,432.859,94.65,COVID-19,,,0,4,100,1342793-Y4-01,06_F,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)C(=O)C5=CN=CO5,"6-chloro-N-(isoquinolin-4-yl)-2-(1,3-oxazole-5-carbonyl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3089879,
MAT-POS-4223bc15-41,Z4973398672,C24H20ClN5O2,Racemic or presumed racemic or meso,445.900,91.94,COVID-19,,,0,4,100,1342793-Y4-01,06_G,CN1C=NC=C1C(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2,"6-chloro-N-(isoquinolin-4-yl)-2-(1-methyl-1H-imidazole-5-carbonyl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3089881,
MAT-POS-4223bc15-38,Z4973398696,C23H17ClN4O3,Racemic or presumed racemic or meso,432.859,95.51,COVID-19,,,0,4,100,1342793-Y4-01,06_H,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)C(=O)C5=NC=CO5,"6-chloro-N-(isoquinolin-4-yl)-2-(1,3-oxazole-2-carbonyl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3089875,
MAT-POS-4223bc15-37,Z4973398704,C23H19ClN6O2,Racemic or presumed racemic or meso,446.888,93.78,COVID-19,,,0,4,100,1342793-Y4-01,06_I,CN1N=NC=C1C(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2,"6-chloro-N-(isoquinolin-4-yl)-2-(1-methyl-1H-1,2,3-triazole-5-carbonyl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3089873,
KAD-UNI-cb0f2bbc-13,Z4984330299,C28H26ClN7O4,Racemic or presumed racemic or meso,560.003,98.13,COVID-19,,,0,4,100,1342793-Y4-01,06_J,CN1C(CNCC2(CCOC=3C=CC(Cl)=CC32)C(=O)NC=4C=NC=C5C=CC=CC45)=NC=6N(C)C(=O)NC(=O)C16,"6-chloro-4-({[(3,7-dimethyl-2,6-dioxo-2,3,6,7-tetrahydro-1H-purin-8-yl)methyl]amino}methyl)-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3089926,
