SMILES,CID,order
N#Cc1cccc(C(CCc2ccccc2)N2CCN(C(=O)CCl)CC2)c1,PAU-WEI-b9b-4,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(C(CCc2ccccc2)c2cccc(Cl)c2)CC1,PAU-WEI-b9b-1,20200417_moonshot_to_enamine.csv
CC(CCc1ccccc1)N1CCN(C(=O)CCl)CC1,MAK-UNK-af8-2,20200417_moonshot_to_enamine.csv
N#Cc1cccc(C(CCc2ccc(C(F)(F)F)cc2)N2CCN(C(=O)CCl)CC2)c1,PAU-WEI-b9b-5,20200417_moonshot_to_enamine.csv
CC(NC(=O)CCl)c1ccccc1CNC(=O)N1CCOCC1,TAM-UNI-d1c-21,20200417_moonshot_to_enamine.csv
C=CC(=O)Nc1c(C)cccc1CC(=O)Nc1cccnc1Cl,AGN-NEW-cce-1,20200417_moonshot_to_enamine.csv
C=C(C(=O)Nc1ccccc1)c1cccnc1,BEN-DND-031-8,20200417_moonshot_to_enamine.csv
NS(=O)(=O)c1ccc2c(c1)N(CCCN1CCN(C(=O)CCl)CC1)CCC2,PAU-UNI-2d6-1,20200417_moonshot_to_enamine.csv
NS(=O)(=O)c1cccc(-n2cc(CN3CCN(C(=O)CCl)CC3)nn2)c1,NIM-UNI-594-3,20200417_moonshot_to_enamine.csv
COc1ccc(-n2cc(CN3CCN(C(=O)CCl)CC3)nn2)cc1,ANT-STE-dbb-1,20200417_moonshot_to_enamine.csv
O=C(NC1CCN(C(=O)CCl)CC1NCc1ccccc1)c1ccccc1,SIM-SYN-7db-1,20200417_moonshot_to_enamine.csv
Cc1ccc(S(=O)(=O)NC2CCN(C(=O)CCl)CC2)cc1,WAR-XCH-79d-4,20200417_moonshot_to_enamine.csv
NC(=O)/C=C/CCC(O)c1ccc(/C=C/c2cc(O)cc(O)c2)cc1,VIT-UNK-026-3,20200417_moonshot_to_enamine.csv
NC(=O)C1CCCC1c1ccccc1CNC(=O)CCl,NIR-THE-99f-3,20200417_moonshot_to_enamine.csv
CC(=O)NCCc1c[nH]c2c(CNC(=O)CCl)cccc12,DUN-NEW-f8c-21,20200417_moonshot_to_enamine.csv
CC(=O)NCCc1cn(C)c2cc(C(C)NC(=O)CCl)ccc12,TAM-UNI-d1c-23,20200417_moonshot_to_enamine.csv
CC(NC(=O)CCl)C1=CC(Cl)=CC2CC=NC12,DAV-CRI-eab-6,20200417_moonshot_to_enamine.csv
CC(NC(=O)CCl)C1=CC(Cl)=CC2CNCC12,DAV-CRI-eab-5,20200417_moonshot_to_enamine.csv
CN(C)C/C=C/C(=O)NCc1c[nH]c2ccccc12,ANT-OPE-ab3-2,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCN(CC2=CNC3C=CC(C#N)=CC23)CC1,JAN-GHE-bf4-9,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CC(NCC2=CNC3C=CC(C#N)=CC23)C1,JAN-GHE-bf4-10,20200417_moonshot_to_enamine.csv
CN(C)C/C=C/C(=O)Nc1c[nH]c2ccccc12,ANT-OPE-ab3-1,20200417_moonshot_to_enamine.csv
N#Cc1cccc(C2CN(C(=O)CCl)Cc3ccccc32)c1,NIR-THE-c33-2,20200417_moonshot_to_enamine.csv
Cc1cccc(C2CN(C(=O)CCl)Cc3ccccc32)c1,NIR-THE-c33-6,20200417_moonshot_to_enamine.csv
Nc1cccc(C2CN(C(=O)CCl)Cc3ccccc32)c1,NIR-THE-c33-1,20200417_moonshot_to_enamine.csv
CNS(=O)(=O)c1ccc(C#N)c(C2CN(C(=O)CCl)Cc3ccccc32)c1,TAM-UNI-d1c-10,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCOc2cccc(-c3cccnc3)c21,TIM-UNK-6bd-2,20200417_moonshot_to_enamine.csv
C=C(CN(C)C)C(=O)N1Cc2ccccc2C(c2ccccc2)C1,REN-UFA-aaa-3,20200417_moonshot_to_enamine.csv
C=C(CCN(C)C)C(=O)N1Cc2ccccc2C(c2ccccc2)C1,REN-UFA-aaa-2,20200417_moonshot_to_enamine.csv
NS(=O)(=O)c1ccc2c(c1)N(CCCCC1CCCN(C(=O)CCl)C1)CCC2,PAU-UNI-f43-1,20200417_moonshot_to_enamine.csv
NS(=O)(=O)c1ccc2cccc(CN3CCN(C(=O)CCl)C(c4cccnc4)C3)c2c1,NIM-UNI-363-1,20200417_moonshot_to_enamine.csv
CC(=O)NCCc1c[nH]c2c(CN3CCN(C(=O)CCl)CC3)cccc12,DUN-NEW-f8c-24,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCCN(Cc2ccccc2)CC1,ANT-OPE-c0c-1,20200417_moonshot_to_enamine.csv
O=C(Nc1ccccc1)C1CCN(C(=O)C(Cl)c2cccnc2)CC1,BEN-DND-031-2,20200417_moonshot_to_enamine.csv
O=C(Nc1ccccc1)C1CCN(C(=O)C(Cl)Cc2cccnc2)CC1,BEN-DND-031-1,20200417_moonshot_to_enamine.csv
N#Cc1ccc(/C=C/C2=CC(N3CCN(C(=O)CCl)CC3)OC2=O)cc1,FAB-N/A-a03-1,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCO[C@@H](c2cc(F)c(F)cc2C[C@H](C)Nc2ccc(C#N)cn2)C1,BEN-VAN-77c-11,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCO[C@H](c2ccc(F)c(CO[C@H](C)Nc3cccnc3Cl)c2)C1,BEN-VAN-77c-4,20200417_moonshot_to_enamine.csv
CC(=O)N(CCc1ccc(C(=O)N2CCSCC2)cc1NC(=O)CCl)c1cnccc1C,NIR-THE-ed2-1,20200417_moonshot_to_enamine.csv
NS(=O)(=O)CCc1cccc2sc(C3CCCN(C(=O)CCl)C3)nc12,SEA-TRI-f74-1,20200417_moonshot_to_enamine.csv
O=C(C(F)Cl)N1CCCC(c2nc3ccccc3s2)C1,JOO-IND-b13-2,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCCC(c2nc3ccccc3s2)C1,JOO-IND-b13-1,20200417_moonshot_to_enamine.csv
NCC1CCc2nc(C3CCCN(C(=O)CCl)C3)sc2C1,HAR-NEW-972-2,20200417_moonshot_to_enamine.csv
O=C(c1ccc[nH]1)N1CC2CCCN(C(=O)CCl)C2C1,TIM-UNK-6bd-1,20200417_moonshot_to_enamine.csv
CC(=O)NCCc1c[nH]c2c(NC3CCN(C(=O)CCl)CC3)cc(F)cc12,NIR-THE-0d6-3,20200417_moonshot_to_enamine.csv
CC(=O)NCCc1c[nH]c2c(CC3CCN(C(=O)CCl)CC3)cc(F)cc12,NIR-THE-0d6-2,20200417_moonshot_to_enamine.csv
CC(=O)NCCC1C=Nc2c(CN3CCN(C(=O)CCl)CC3)cc(F)cc21,JOO-PER-d7a-1,20200417_moonshot_to_enamine.csv
NS(=O)(=O)Cc1nc2cccc(CN3CCN(C(=O)CCl)CC3)c2[nH]1,STU-CHA-0f7-1,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCN(Cc2cccc3c(CCNS(C)(=O)=O)c[nH]c23)CC1,JAN-GHE-641-7,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCN(Cc2cccc3c(CCNC(C)=O)c[nH]c23)CC1,JAN-GHE-641-5,20200417_moonshot_to_enamine.csv
CNC(=O)c1cc2cccc(CN3CCN(C(=O)CCl)CC3)c2nc1N1CCOCC1,BOG-INS-bdb-1,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cccc(Cl)c2)C[C@@H]1Cc1ccccc1,DAN-LON-a5f-10,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCO[C@H](c2cc(F)cc3c2CO[C@@H]3Cc2cc(O)cc(F)c2)C1,BOG-INS-8eb-1,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCCC(c2nc(-c3cccnc3)nc3ccccc23)C1,WAR-XCH-bdd-16,20200417_moonshot_to_enamine.csv
CS(=O)(=O)N1CCc2ccc(CN3CCN(C(=O)CCl)CC3)cc2C1,TAM-UNI-d1c-5,20200417_moonshot_to_enamine.csv
NS(=O)(=O)c1ccc2c(c1)CN(CC1CCN(C(=O)CCl)CC1)CC2,STU-CHA-83d-1,20200417_moonshot_to_enamine.csv
Cc1cc2c(cc1S(N)(=O)=O)CN(CC1CCN(C(=O)CCl)CC1)CC2,STU-CHA-09b-1,20200417_moonshot_to_enamine.csv
NS(=O)(=O)c1cc2c(cc1C(F)F)CCN(CC1CCN(C(=O)CCl)CC1)C2,STU-CHA-814-1,20200417_moonshot_to_enamine.csv
CC1Cc2ccc(S(N)(=O)=O)cc2CN1CC1CCN(C(=O)CCl)CC1,STU-CHA-7e7-1,20200417_moonshot_to_enamine.csv
COC1CCCC(Oc2cccc(CN3CCN(C(=O)CCl)CC3)c2)C1,MAK-UNK-176-4,20200417_moonshot_to_enamine.csv
CC(=O)NCCc1c[nH]c2c([C@@H]3CN(C(=O)CCl)Cc4ccccc43)cc(Cl)cc12,DAR-DIA-cab-5,20200417_moonshot_to_enamine.csv
CC(=O)NCCc1c[nH]c2c(C3CN(C(=O)CCl)Cc4ccccc43)c(F)ccc12,NIR-THE-c33-3,20200417_moonshot_to_enamine.csv
O=C(CCl)N1Cc2ccccc2C(c2ccccc2)C1Cc1cccnc1,DAV-CRI-1c7-1,20200417_moonshot_to_enamine.csv
NS(=O)(=O)C1CCc2cc(C3CN(C(=O)CCl)Cc4ccccc43)ccc2C1,DAV-CRI-3fe-2,20200417_moonshot_to_enamine.csv
CC(=O)NCCc1c[nH]c2c(C(CCc3ccc(C)cc3)N3CCN(C(=O)CCl)CC3)cccc12,PAU-WEI-b9b-8,20200417_moonshot_to_enamine.csv
CC(=O)NCCc1c[nH]c2c(C(CCc3ccccc3)N3CCN(C(=O)CCl)CC3)cccc12,PAU-WEI-b9b-7,20200417_moonshot_to_enamine.csv
CC(=O)NCCc1c[nH]c2c(C(CCc3ccc(C(F)(F)F)cc3)N3CCN(C(=O)CCl)CC3)cccc12,PAU-WEI-b9b-9,20200417_moonshot_to_enamine.csv
O=C(CCl)Nc1nc2c(S(=O)(=O)NCCc3ccccc3)cccc2s1,DUN-NEW-f8c-23,20200417_moonshot_to_enamine.csv
O=C(CCl)Nc1nc2c(C(=O)NCCc3cccc(F)c3)cccc2s1,WAL-WAB-df1-1,20200417_moonshot_to_enamine.csv
N#Cc1ccccc1CN(C1CCC(O)CC1)C1CCN(C(=O)CCl)CC1,WAR-XCH-72a-6,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCC(N(Cc2ccccc2C#N)C2CCC(O)CC2)CC1,WAR-XCH-72a-10,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCCC(N(CC2CCCCC2)C2CCC(O)CC2)C1,WAR-XCH-72a-5,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCCC(N(CC2CCCCC2)C2CCC(O)CC2)C1,WAR-XCH-72a-9,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(C(c2ccccc2)c2ccccc2)CC1,SIM-SYN-f15-1,20200417_moonshot_to_enamine.csv
C=CC(=O)NC1CN(Cc2cccc3c(CCNC(=O)c4ccc[nH]4)c[nH]c23)C1,JAN-GHE-641-3,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCN(S(=O)(=O)c2ccccc2-c2ccc(Nc3ccc(C#N)cn3)cc2)CC1,JAN-GHE-bf4-2,20200417_moonshot_to_enamine.csv
Cc1cccc(CN2CCN(C(=O)CCl)CC2)c1C(=O)N1CCC(O)CC1,MAK-UNK-e4a-26,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCC(c2nc(-c3cccnc3)nc3ccccc23)CC1,WAR-XCH-b03-19,20200417_moonshot_to_enamine.csv
C=CC(=O)Nc1cc(C(=O)NC[C@H](Cc2ccccc2)c2ccccn2)ccc1O,JUA-UNI-bc0-5,20200417_moonshot_to_enamine.csv
